ticker,date,open,high,low,close
AAUC,2025-06-16,15.5,15.785,15.0,15.03
AAUC,2025-06-17,14.85,14.95,13.83,14.11
AAUC,2025-06-18,14.02,14.28,13.74,13.8
AAUC,2025-06-20,13.79,14.02,13.74,13.83
AAUC,2025-06-23,13.88,14.38,13.72,13.89
AAUC,2025-06-24,13.9,13.9,13.05,13.45
AAUC,2025-06-25,13.4,13.63,13.33,13.48
AAUC,2025-06-26,13.52,13.63,13.415,13.63
AAUC,2025-06-27,13.4,13.4,13.08,13.25
AAUC,2025-06-30,13.38,13.64,13.21,13.52
AAUC,2025-07-01,13.7498,13.825,13.58,13.66
AAUC,2025-07-02,13.73,13.83,13.355,13.6
AAUC,2025-07-03,13.68,13.68,13.4309,13.57
AAUC,2025-07-07,13.73,14.05,13.48,14.05
AAUC,2025-07-08,14.05,14.05,12.84,13.15
AAUC,2025-07-09,13.02,13.42,13.02,13.38
AAUC,2025-07-10,13.38,13.38,13.11,13.25
AAUC,2025-07-11,13.6349,13.7241,13.57,13.57
AAUC,2025-07-14,13.62,13.85,13.415,13.44
AAUC,2025-07-15,13.38,13.38,12.89,13.2
AAUC,2025-07-16,12.89,14.36,12.8567,13.27
AAUC,2025-07-17,12.882,13.15,12.78,13.1
AAUC,2025-07-18,13.27,13.57,12.99,13.52
AAUC,2025-07-21,13.771,14.12,13.74,13.91
AAUC,2025-07-22,13.92,14.19,13.85,14.16
AAUC,2025-07-23,14.02,14.06,13.66,13.78
AAUC,2025-07-24,13.69,13.8435,13.5,13.55
AAUC,2025-07-25,13.38,13.395,13.055,13.34
AAUC,2025-07-28,13.21,13.3,12.94,12.99
AAUC,2025-07-29,12.96,13.15,12.85,13.11
AAUC,2025-07-30,12.87,13.05,12.61,12.69
AAUC,2025-07-31,12.71,12.92,12.665,12.87
AAUC,2025-08-01,12.96,13.23,12.86,13.01
AAUC,2025-08-04,13.465,13.91,13.33,13.57
AAUC,2025-08-05,13.49,13.57,13.3,13.49
AAUC,2025-08-06,13.51,13.69,13.42,13.69
AAUC,2025-08-07,13.59,13.59,11.88,12.06
AAUC,2025-08-08,12.2,12.33,11.67,11.72
AAUC,2025-08-11,11.73,11.92,11.56,11.58
AAUC,2025-08-12,11.65,12.03,11.4,11.91
AAUC,2025-08-13,11.88,12.17,11.65,12.03
AAUC,2025-08-14,12.0535,12.1899,11.92,11.99
AAUC,2025-08-15,12.1111,12.28,11.9,12.22
AAUC,2025-08-18,12.25,13.16,12.25,13.16
AAUC,2025-08-19,13.13,13.175,12.59,12.89
AAUC,2025-08-20,13.01,13.3692,13.01,13.17
AAUC,2025-08-21,13.16,13.42,13.06,13.1
AAUC,2025-08-22,13.14,13.75,13.05,13.51
AAUC,2025-08-25,13.61,13.79,13.46,13.49
AAUC,2025-08-26,13.5,14.0,13.5,13.89
AAUC,2025-08-27,13.93,13.95,13.61,13.95
AAUC,2025-08-28,13.85,13.85,13.81,13.85
AAUC,2025-08-29,13.9,14.03,13.78,14.0
AAUC,2025-09-02,14.06,14.3291,13.78,14.18
AAUC,2025-09-03,14.49,14.6699,14.23,14.46
AAUC,2025-09-04,14.37,14.37,14.007,14.25
AAUC,2025-09-05,14.545,15.09,14.4,15.02
AAUC,2025-09-08,15.1,15.57,14.9703,15.52
AAUC,2025-09-09,15.45,15.65,15.0,15.12
AAUC,2025-09-10,15.2285,15.55,15.01,15.49
AAUC,2025-09-11,15.27,15.61,15.17,15.55
AAUC,2025-09-12,15.46,15.59,15.42,15.49
AAUC,2025-09-15,15.5,15.79,15.48,15.73
AAUC,2025-09-16,16.0,16.0,15.077,15.1
AAUC,2025-09-17,15.0197,15.475,14.84,15.07
AAUC,2025-09-18,15.26,15.6,14.68,15.43
AAUC,2025-09-19,15.6034,16.0,15.5,15.8
AAUC,2025-09-22,15.92,16.66,15.805,16.65
AAUC,2025-09-23,17.0,17.29,16.86,17.19
AAUC,2025-09-24,17.15,17.5,16.72,16.91
AAUC,2025-09-25,16.9,17.0677,16.55,16.89
AAUC,2025-09-26,17.0,17.17,16.7308,17.06
AAUC,2025-09-29,17.41,17.68,17.09,17.51
AAUC,2025-09-30,17.45,17.8,17.38,17.47
AAUC,2025-10-01,17.68,18.0,17.54,17.59
AAUC,2025-10-02,17.76,18.79,17.2509,18.39
AAUC,2025-10-03,18.39,18.42,17.85,18.21
AAUC,2025-10-06,18.06,18.51,17.96,18.03
AAUC,2025-10-07,17.98,18.434,17.92,18.35
AAUC,2025-10-08,18.76,19.0,18.42,18.86
AAUC,2025-10-09,18.9,18.95,17.6034,17.7
AAUC,2025-10-10,17.76,18.14,17.58,17.74
AAUC,2025-10-13,18.9,19.18,18.3134,18.86
AAUC,2025-10-14,18.45,19.24,18.295,18.96
AAUC,2025-10-15,19.36,20.49,19.36,20.49
AAUC,2025-10-16,19.8,20.17,18.91,19.3
AAUC,2025-10-17,19.0,19.1,17.69,18.18
AAUC,2025-10-20,18.723,19.23,18.11,19.12
AAUC,2025-10-21,18.225,18.225,16.7901,17.26
AAUC,2025-10-22,16.6,17.795,16.6,17.61
AAUC,2025-10-23,17.86,18.02,17.64,17.67
AAUC,2025-10-24,17.67,18.12,17.57,18.11
AAUC,2025-10-27,17.75,18.08,16.9,17.51
AAUC,2025-10-28,16.9501,17.6,16.9501,17.26
AAUC,2025-10-29,17.55,17.65,17.13,17.3
AAUC,2025-10-30,17.16,17.92,17.1,17.45
AAUC,2025-10-31,17.32,17.575,14.89,15.22
AAUC,2025-11-03,15.3,15.8,14.93,15.52
AAUC,2025-11-04,15.17,15.37,14.6,14.66
AAUC,2025-11-05,15.18,15.295,14.87,15.07
AAUC,2025-11-06,15.4,16.1256,14.81,14.82
AAUC,2025-11-07,14.97,15.45,14.86,15.45
AAUC,2025-11-10,16.25,16.71,16.17,16.41
AAUC,2025-11-11,16.66,16.7,16.17,16.5
AAUC,2025-11-12,16.62,17.15,16.3615,16.83
AAUC,2025-11-13,16.93,17.835,16.68,16.75
AAUC,2025-11-14,15.99,16.565,15.64,16.47
AAUC,2025-11-17,16.45,16.92,16.33,16.54
AAUC,2025-11-18,16.87,16.9899,16.355,16.77
AAUC,2025-11-19,17.09,17.27,16.46,16.72
AAUC,2025-11-20,17.0,17.29,15.99,16.04
AAUC,2025-11-21,16.02,16.34,15.62,16.26
AAUC,2025-11-24,16.43,16.96,16.43,16.96
AAUC,2025-11-25,17.25,17.53,16.95,17.47
AAUC,2025-11-26,17.7,19.27,17.7,19.21
AAUC,2025-11-28,20.0,21.5099,20.0,21.11
AAUC,2025-12-01,21.85,21.86,20.39,21.15
AAUC,2025-12-02,21.0,21.235,20.39,20.99
AAUC,2025-12-03,21.705,22.7,21.45,21.93
AAUC,2025-12-04,22.04,22.36,21.85,22.02
AAUC,2025-12-05,22.51,23.0,22.05,22.22
AAUC,2025-12-08,22.4,22.555,21.55,21.63
AAUC,2025-12-09,21.6,22.31,21.54,22.0
AAUC,2025-12-10,21.74,21.86,21.03,21.81
AAUC,2025-12-11,21.87,22.68,21.7,22.61
AAUC,2025-12-12,22.885,23.48,22.57,22.97
AAUC,2025-12-15,23.195,23.815,22.89,23.38
AAUC,2025-12-16,23.2963,23.6,22.22,22.37
AAUC,2025-12-17,22.7,22.99,22.39,22.8
AAUC,2025-12-18,22.565,23.185,22.32,22.67
AAUC,2025-12-19,22.975,23.74,22.87,23.28
