ticker,date,open,high,low,close
AERO,2025-11-12,18.51,18.74,18.5,18.5
AERO,2025-11-13,18.5,18.51,17.1,17.2
AERO,2025-11-14,17.0,17.475,16.75,17.08
AERO,2025-11-17,17.105,17.875,16.26,16.63
AERO,2025-11-18,16.425,16.62,16.0,16.21
AERO,2025-11-19,16.25,17.105,16.04,16.9
AERO,2025-11-20,17.22,17.33,16.6,16.95
AERO,2025-11-21,16.98,17.43,16.725,16.89
AERO,2025-11-24,17.2446,17.9,17.02,17.58
AERO,2025-11-25,17.87,18.85,17.65,18.73
AERO,2025-11-26,18.75,19.13,18.22,18.6
AERO,2025-11-28,18.9,19.2846,18.4,18.54
AERO,2025-12-01,18.6,19.66,18.04,18.91
AERO,2025-12-02,19.216,19.4954,18.87,19.15
AERO,2025-12-03,19.2768,19.47,18.945,19.43
AERO,2025-12-04,19.55,19.6,19.125,19.18
AERO,2025-12-05,19.485,19.5,18.18,18.28
AERO,2025-12-08,18.97,18.97,17.56,17.75
AERO,2025-12-09,17.71,18.51,17.5139,18.23
AERO,2025-12-10,17.9551,19.14,17.9,17.9
AERO,2025-12-11,18.085,18.4,17.69,18.05
AERO,2025-12-12,18.1,19.47,17.913,19.01
AERO,2025-12-15,18.925,19.24,18.57,19.11
AERO,2025-12-16,19.23,19.84,18.87,19.15
AERO,2025-12-17,19.745,21.0,19.47,20.98
AERO,2025-12-18,21.005,21.5,20.475,21.5
AERO,2025-12-19,21.7091,22.25,21.15,21.3
