ticker,date,open,high,low,close
AEXA,2025-09-29,10.78,10.96,10.68,10.78
AEXA,2025-09-30,11.2,11.25,10.85,10.93
AEXA,2025-10-01,11.03,11.03,10.83,10.92
AEXA,2025-10-02,10.98,11.07,10.9,11.0
AEXA,2025-10-03,11.01,11.15,10.97,11.04
AEXA,2025-10-06,11.18,11.29,11.0,11.11
AEXA,2025-10-07,11.4348,11.58,11.14,11.41
AEXA,2025-10-08,11.55,11.68,11.45,11.59
AEXA,2025-10-09,11.69,11.7,11.27,11.34
AEXA,2025-10-10,11.39,11.59,11.26,11.31
AEXA,2025-10-13,11.58,11.585,11.21,11.39
AEXA,2025-10-14,11.45,11.75,11.45,11.65
AEXA,2025-10-15,11.72,11.9,11.65,11.72
AEXA,2025-10-16,11.7172,11.75,11.32,11.43
AEXA,2025-10-17,11.369,11.55,11.23,11.3
AEXA,2025-10-20,11.3,11.7999,11.3,11.62
AEXA,2025-10-21,11.68,11.91,11.53,11.74
AEXA,2025-10-22,11.665,11.83,11.58,11.71
AEXA,2025-10-23,11.79,11.79,11.57,11.66
AEXA,2025-10-24,11.67,11.695,11.56,11.66
AEXA,2025-10-27,11.79,11.79,11.57,11.67
AEXA,2025-10-28,11.7,11.75,11.62,11.65
AEXA,2025-10-29,11.6,11.7,11.6,11.64
AEXA,2025-10-30,11.55,11.695,11.415,11.51
AEXA,2025-10-31,11.55,11.69,11.3501,11.55
AEXA,2025-11-03,11.6,11.6,11.2601,11.43
AEXA,2025-11-04,11.38,11.44,11.25,11.31
AEXA,2025-11-05,11.31,11.45,11.22,11.32
AEXA,2025-11-06,11.3,11.39,11.2401,11.32
AEXA,2025-11-07,11.35,11.3523,11.12,11.16
AEXA,2025-11-10,11.2001,11.35,11.2,11.31
AEXA,2025-11-11,11.34,11.34,11.21,11.24
AEXA,2025-11-12,11.22,11.28,11.19,11.25
AEXA,2025-11-13,11.18,11.26,10.91,10.95
AEXA,2025-11-14,10.88,11.28,10.83,11.17
AEXA,2025-11-17,11.17,11.2163,10.87,10.91
AEXA,2025-11-18,10.86,11.0,10.81,10.95
AEXA,2025-11-19,11.0,11.0,10.86,10.87
AEXA,2025-11-20,10.93,11.0299,10.8048,10.87
AEXA,2025-11-21,10.8,11.0,10.7,10.82
AEXA,2025-11-24,10.81,11.0,10.79,10.94
AEXA,2025-11-25,10.9,11.25,10.8601,11.15
AEXA,2025-11-26,11.11,11.2,11.04,11.13
AEXA,2025-11-28,11.16,11.24,11.085,11.23
AEXA,2025-12-01,11.05,11.19,10.918,10.95
AEXA,2025-12-02,10.96,11.04,10.83,10.85
AEXA,2025-12-03,10.91,10.96,10.875,10.89
AEXA,2025-12-04,10.945,11.15,10.88,11.13
AEXA,2025-12-05,11.15,11.15,10.91,10.95
AEXA,2025-12-08,11.0,11.15,10.965,11.04
AEXA,2025-12-09,11.0,11.14,10.95,10.96
AEXA,2025-12-10,11.0007,11.14,10.95,11.0
AEXA,2025-12-11,11.0499,11.15,10.9501,11.1
AEXA,2025-12-12,11.02,11.15,10.935,11.01
AEXA,2025-12-15,11.028,11.0581,10.86,10.94
AEXA,2025-12-16,10.9318,11.025,10.91,10.91
AEXA,2025-12-17,10.98,11.04,10.89,10.96
AEXA,2025-12-18,10.98,11.15,10.8923,11.06
AEXA,2025-12-19,11.065,11.2,11.0,11.14
