ticker,date,open,high,low,close
AHL,2025-05-09,32.875,35.245,32.875,34.46
AHL,2025-05-12,34.39,35.1,34.0,34.74
AHL,2025-05-13,34.465,35.95,34.465,35.66
AHL,2025-05-14,35.13,35.13,34.675,35.01
AHL,2025-05-15,34.205,35.25,34.19,34.6
AHL,2025-05-16,34.325,35.19,33.635,34.74
AHL,2025-05-19,34.18,34.18,33.5,34.18
AHL,2025-05-20,33.67,34.58,33.67,34.39
AHL,2025-05-21,34.3,35.185,34.26,35.18
AHL,2025-05-22,34.53,34.53,34.19,34.53
AHL,2025-05-23,34.5,34.99,34.23,34.99
AHL,2025-05-27,35.17,35.61,34.35,34.96
AHL,2025-05-28,34.35,35.0143,34.0,34.46
AHL,2025-05-29,34.26,34.87,33.8,34.87
AHL,2025-05-30,34.66,35.275,34.0,34.3
AHL,2025-06-02,34.5,34.95,33.81,34.61
AHL,2025-06-03,34.5,34.935,34.0,34.73
AHL,2025-06-04,34.75,35.12,34.21,34.53
AHL,2025-06-05,34.425,34.425,33.59,34.03
AHL,2025-06-06,34.15,34.41,33.625,33.71
AHL,2025-06-09,33.82,33.98,32.49,32.83
AHL,2025-06-10,32.56,32.795,31.08,31.84
AHL,2025-06-11,31.55,32.705,31.48,32.25
AHL,2025-06-12,32.0,32.515,31.48,32.0
AHL,2025-06-13,31.45,33.05,30.86,32.38
AHL,2025-06-16,32.26,32.68,31.81,32.01
AHL,2025-06-17,32.45,32.45,31.31,31.97
AHL,2025-06-18,32.18,32.3,31.74,32.02
AHL,2025-06-20,32.01,32.72,31.485,31.5
AHL,2025-06-23,31.375,31.95,31.09,31.63
AHL,2025-06-24,31.0,31.89,30.78,31.14
AHL,2025-06-25,31.18,31.45,29.81,30.19
AHL,2025-06-26,30.285,31.525,28.85,30.41
AHL,2025-06-27,30.4,31.05,29.63,30.78
AHL,2025-06-30,30.6853,31.82,30.28,31.47
AHL,2025-07-01,31.3,31.98,31.01,31.35
AHL,2025-07-02,30.0,30.94,30.0,30.15
AHL,2025-07-03,30.65,30.795,30.26,30.34
AHL,2025-07-07,30.0296,30.55,29.62,30.36
AHL,2025-07-08,30.1,31.015,29.53,29.94
AHL,2025-07-09,29.95,30.605,29.41,30.21
AHL,2025-07-10,30.245,30.37,29.5,30.01
AHL,2025-07-11,30.37,30.37,30.06,30.37
AHL,2025-07-14,30.27,31.13,29.975,30.19
AHL,2025-07-15,30.5,31.21,30.21,30.52
AHL,2025-07-16,30.55,31.62,30.4,30.98
AHL,2025-07-17,31.135,31.46,30.64,30.64
AHL,2025-07-18,30.88,31.03,29.96,30.0
AHL,2025-07-21,29.955,30.9,29.955,30.57
AHL,2025-07-22,30.58,31.73,30.58,31.38
AHL,2025-07-23,31.0175,31.53,30.62,31.17
AHL,2025-07-24,31.3,31.87,31.01,31.55
AHL,2025-07-25,31.6,32.19,31.59,31.9
AHL,2025-07-28,31.78,31.895,31.255,31.29
AHL,2025-07-29,31.425,32.12,31.33,31.6
AHL,2025-07-30,31.0,31.82,31.0,31.38
AHL,2025-07-31,31.0,31.75,30.49,31.63
AHL,2025-08-01,32.25,32.56,30.5175,31.25
AHL,2025-08-04,31.62,32.055,30.87,31.7
AHL,2025-08-05,32.15,32.15,30.83,30.93
AHL,2025-08-06,30.955,31.9,30.54,31.24
AHL,2025-08-07,31.425,31.75,30.54,31.57
AHL,2025-08-08,31.01,31.01,28.83,28.83
AHL,2025-08-11,28.695,29.01,27.9,28.66
AHL,2025-08-12,28.71,29.225,28.535,28.85
AHL,2025-08-13,28.91,29.165,28.485,28.89
AHL,2025-08-14,28.68,28.91,28.455,28.53
AHL,2025-08-15,28.88,28.88,27.89,27.92
AHL,2025-08-18,27.9,28.26,27.51,27.51
AHL,2025-08-19,27.6,28.095,27.05,27.66
AHL,2025-08-20,32.07,32.9799,31.0,32.27
AHL,2025-08-21,32.485,32.76,31.9,32.32
AHL,2025-08-22,33.1,34.69,33.1,34.05
AHL,2025-08-25,33.62,33.7,32.62,32.8
AHL,2025-08-26,32.795,32.9,32.125,32.21
AHL,2025-08-27,36.44,36.78,36.35,36.63
AHL,2025-08-28,36.6,36.64,36.5,36.55
AHL,2025-08-29,36.6,36.715,36.5,36.5
AHL,2025-09-02,36.51,36.72,36.51,36.65
AHL,2025-09-03,36.7,36.72,36.6106,36.7
AHL,2025-09-04,36.7,36.84,36.55,36.64
AHL,2025-09-05,36.66,36.66,36.56,36.61
AHL,2025-09-08,36.63,36.7,36.58,36.69
AHL,2025-09-09,36.72,36.72,36.58,36.6
AHL,2025-09-10,36.68,36.68,36.59,36.6
AHL,2025-09-11,36.68,36.82,36.64,36.69
AHL,2025-09-12,36.73,36.8,36.64,36.64
AHL,2025-09-15,36.7,36.74,36.67,36.69
AHL,2025-09-16,36.74,36.79,36.59,36.61
AHL,2025-09-17,36.67,36.74,36.6,36.6
AHL,2025-09-18,36.62,36.66,36.52,36.56
AHL,2025-09-19,36.61,36.76,36.56,36.65
AHL,2025-09-22,36.68,36.74,36.66,36.69
AHL,2025-09-23,36.99,37.0,36.69,36.73
AHL,2025-09-24,36.77,36.78,36.49,36.5
AHL,2025-09-25,36.6,36.68,36.55,36.67
AHL,2025-09-26,36.68,36.86,36.65,36.65
AHL,2025-09-29,36.71,36.71,36.56,36.64
AHL,2025-09-30,36.66,36.73,36.63,36.71
AHL,2025-10-01,36.66,36.76,36.63,36.7
AHL,2025-10-02,36.75,36.76,36.62,36.72
AHL,2025-10-03,36.72,36.75,36.69,36.71
AHL,2025-10-06,36.69,36.78,36.67,36.72
AHL,2025-10-07,36.76,36.77,36.7,36.74
AHL,2025-10-08,36.88,36.89,36.68,36.68
AHL,2025-10-09,36.7,36.74,36.655,36.7
AHL,2025-10-10,36.72,36.76,36.67,36.69
AHL,2025-10-13,36.74,36.74,36.66,36.68
AHL,2025-10-14,36.675,36.74,36.65,36.7
AHL,2025-10-15,36.7,36.72,36.655,36.67
AHL,2025-10-16,36.67,36.7,36.65,36.67
AHL,2025-10-17,36.735,36.735,36.67,36.67
AHL,2025-10-20,36.68,36.73,36.68,36.72
AHL,2025-10-21,36.705,36.76,36.7,36.7
AHL,2025-10-22,36.69,36.74,36.68,36.74
AHL,2025-10-23,36.75,36.75,36.68,36.73
AHL,2025-10-24,36.77,36.775,36.74,36.75
AHL,2025-10-27,36.5327,36.79,36.5327,36.74
AHL,2025-10-28,36.7,36.77,36.695,36.77
AHL,2025-10-29,36.7,36.79,36.69,36.7
AHL,2025-10-30,36.8,36.8,36.71,36.74
AHL,2025-10-31,36.8,36.855,36.72,36.75
AHL,2025-11-03,36.885,36.895,36.72,36.74
AHL,2025-11-04,36.79,36.79,36.72,36.75
AHL,2025-11-05,36.84,36.84,36.7493,36.77
AHL,2025-11-06,36.76,36.86,36.76,36.83
AHL,2025-11-07,36.8,36.87,36.8,36.82
AHL,2025-11-10,36.84,36.88,36.8,36.85
AHL,2025-11-11,36.85,36.92,36.84,36.86
AHL,2025-11-12,36.85,36.885,36.79,36.81
AHL,2025-11-13,36.84,36.92,36.84,36.86
AHL,2025-11-14,36.75,37.01,36.75,36.9
AHL,2025-11-17,36.935,36.99,36.83,36.86
AHL,2025-11-18,36.85,36.98,36.85,36.98
AHL,2025-11-19,36.93,36.97,36.81,36.82
AHL,2025-11-20,37.04,37.05,36.82,36.99
AHL,2025-11-21,36.95,36.99,36.87,36.89
AHL,2025-11-24,36.91,36.93,36.86,36.91
AHL,2025-11-25,36.96,36.97,36.91,36.92
AHL,2025-11-26,36.93,36.985,36.9,36.97
AHL,2025-11-28,36.975,37.08,36.97,37.05
AHL,2025-12-01,37.025,37.025,36.89,37.0
AHL,2025-12-02,37.02,37.02,36.85,37.02
AHL,2025-12-03,37.19,37.19,37.0,37.04
AHL,2025-12-04,37.0115,37.045,36.995,37.0
AHL,2025-12-05,37.0,37.02,36.99,37.0
AHL,2025-12-08,37.0,37.01,36.9493,36.96
AHL,2025-12-09,37.02,37.035,36.95,37.0
AHL,2025-12-10,36.98,37.03,36.98,37.03
AHL,2025-12-11,37.09,37.13,37.015,37.1
AHL,2025-12-12,37.1,37.1,37.01,37.02
AHL,2025-12-15,37.09,37.12,37.06,37.11
AHL,2025-12-16,37.14,37.14,37.08,37.09
AHL,2025-12-17,37.1,37.1,37.07,37.08
AHL,2025-12-18,37.1,37.1,37.07,37.1
AHL,2025-12-19,37.25,37.25,37.08,37.1
