ticker,date,open,high,low,close
ALH,2025-10-13,25.18,25.72,24.0,25.4
ALH,2025-10-14,25.085,26.315,24.5,25.88
ALH,2025-10-15,25.62,26.0,25.085,25.6
ALH,2025-10-16,25.21,26.02,25.135,25.19
ALH,2025-10-17,24.51,25.545,24.41,24.66
ALH,2025-10-20,24.66,25.13,24.18,25.05
ALH,2025-10-21,24.775,25.76,24.08,25.65
ALH,2025-10-22,25.16,26.84,25.16,26.63
ALH,2025-10-23,26.42,26.81,25.83,26.05
ALH,2025-10-24,26.35,26.88,26.0,26.51
ALH,2025-10-27,26.315,26.735,26.195,26.32
ALH,2025-10-28,25.9603,26.99,25.5228,26.93
ALH,2025-10-29,26.99,27.0,26.14,26.26
ALH,2025-10-30,26.37,26.675,26.05,26.315
ALH,2025-10-31,26.1,26.58,25.75,26.5
ALH,2025-11-03,26.5,26.9,25.99,26.84
ALH,2025-11-04,26.95,26.98,26.01,26.71
ALH,2025-11-05,26.9,27.325,26.11,26.75
ALH,2025-11-06,26.8,26.8139,26.07,26.39
ALH,2025-11-07,26.07,26.525,25.9442,26.4
ALH,2025-11-10,26.415,27.0,26.39,26.74
ALH,2025-11-11,26.92,27.23,26.43,26.58
ALH,2025-11-12,27.0,27.36,26.53,26.7
ALH,2025-11-13,26.325,26.54,25.36,25.39
ALH,2025-11-14,25.02,26.1,25.0,26.02
ALH,2025-11-17,26.0,26.0,23.925,24.18
ALH,2025-11-18,23.81,24.75,23.76,23.76
ALH,2025-11-19,23.68,24.09,23.16,23.36
ALH,2025-11-20,23.4,24.07,22.6,22.88
ALH,2025-11-21,22.845,25.22,22.61,23.36
ALH,2025-11-24,23.415,24.29,23.415,23.62
ALH,2025-11-25,23.865,24.44,23.72,24.0
ALH,2025-11-26,24.095,24.4,23.46,23.66
ALH,2025-11-28,23.9,24.11,22.5,23.77
ALH,2025-12-01,23.97,23.97,22.7,22.98
ALH,2025-12-02,23.155,23.155,22.36,22.75
ALH,2025-12-03,22.79,22.99,22.12,22.49
ALH,2025-12-04,22.47,22.9,22.0,22.59
ALH,2025-12-05,22.6,22.96,21.6001,22.17
ALH,2025-12-08,22.32,22.54,21.675,21.68
ALH,2025-12-09,21.52,22.01,21.12,22.0
ALH,2025-12-10,22.0,22.59,21.77,22.25
ALH,2025-12-11,21.695,22.55,21.695,22.42
ALH,2025-12-12,22.39,22.685,22.13,22.27
ALH,2025-12-15,22.18,22.505,21.38,21.52
ALH,2025-12-16,21.535,21.535,20.92,21.29
ALH,2025-12-17,21.12,21.76,21.06,21.57
ALH,2025-12-18,21.7,21.84,20.82,20.98
ALH,2025-12-19,20.945,21.28,20.11,20.44
