ticker,date,open,high,low,close
ANGX,2025-09-11,17.32,17.52,12.06,13.0
ANGX,2025-09-12,16.97,17.9801,10.35,13.26
ANGX,2025-09-15,14.3,18.9,13.52,16.0
ANGX,2025-09-16,17.2,18.0,12.02,13.01
ANGX,2025-09-17,13.2,13.34,7.67,8.81
ANGX,2025-09-18,9.175,9.5,6.75,6.93
ANGX,2025-09-19,7.09,7.09,6.0,6.0
ANGX,2025-09-22,6.475,6.9699,5.75,5.79
ANGX,2025-09-23,5.93,5.9779,4.52,5.0
ANGX,2025-09-24,5.0,5.049,4.35,4.36
ANGX,2025-09-25,4.44,4.45,3.98,4.0
ANGX,2025-09-26,4.1,4.2,3.77,3.96
ANGX,2025-09-29,4.37,5.73,4.294,5.54
ANGX,2025-09-30,5.49,5.82,5.2102,5.81
ANGX,2025-10-01,5.94,8.1599,5.926,7.76
ANGX,2025-10-02,9.76,9.85,8.63,9.32
ANGX,2025-10-03,9.59,9.6733,8.51,8.59
ANGX,2025-10-06,8.6,8.8,7.75,8.31
ANGX,2025-10-07,8.15,8.2606,7.39,7.49
ANGX,2025-10-08,7.36,7.54,6.774,6.89
ANGX,2025-10-09,6.78,6.98,6.59,6.91
ANGX,2025-10-10,6.9905,6.9905,6.4,6.61
ANGX,2025-10-13,6.76,6.88,6.42,6.67
ANGX,2025-10-14,6.6154,7.4661,6.35,7.4
ANGX,2025-10-15,7.58,7.58,6.85,6.97
ANGX,2025-10-16,6.97,7.0499,6.67,6.81
ANGX,2025-10-17,6.8883,7.245,6.82,6.99
ANGX,2025-10-20,7.01,7.36,6.9,7.36
ANGX,2025-10-21,7.325,7.33,6.98,7.15
ANGX,2025-10-22,6.83,6.83,6.82,6.83
ANGX,2025-10-23,6.93,7.05,6.81,6.93
ANGX,2025-10-24,7.0,7.0,6.6,6.83
ANGX,2025-10-27,6.85,6.9,6.53,6.69
ANGX,2025-10-28,6.71,6.8,6.34,6.45
ANGX,2025-10-29,6.5,6.5809,6.21,6.33
ANGX,2025-10-30,6.3,6.37,5.95,6.25
ANGX,2025-10-31,6.25,6.55,5.9,6.4
ANGX,2025-11-03,6.62,6.78,6.24,6.59
ANGX,2025-11-04,6.41,6.55,6.13,6.17
ANGX,2025-11-05,6.36,6.62,6.0,6.54
ANGX,2025-11-06,6.16,6.64,6.16,6.42
ANGX,2025-11-07,6.25,6.32,5.92,6.03
ANGX,2025-11-10,6.285,6.34,5.6,5.63
ANGX,2025-11-11,5.75,5.775,5.41,5.52
ANGX,2025-11-12,5.6478,5.72,5.2,5.36
ANGX,2025-11-13,5.33,5.375,5.08,5.25
ANGX,2025-11-14,5.25,6.02,5.06,5.98
ANGX,2025-11-17,6.21,6.75,6.05,6.14
ANGX,2025-11-18,6.05,6.0512,5.72,5.95
ANGX,2025-11-19,5.91,6.15,5.28,5.28
ANGX,2025-11-20,5.35,5.42,5.1,5.18
ANGX,2025-11-21,5.2,5.2486,4.7,5.04
ANGX,2025-11-24,5.04,5.28,4.71,4.76
ANGX,2025-11-25,4.79,4.8857,4.6,4.66
ANGX,2025-11-26,4.7,4.87,4.47,4.74
ANGX,2025-11-28,4.77,5.2,4.6491,4.88
ANGX,2025-12-01,4.75,4.78,4.41,4.41
ANGX,2025-12-02,4.42,4.44,4.2501,4.37
ANGX,2025-12-03,4.4382,4.5,4.2,4.48
ANGX,2025-12-04,4.8031,5.42,4.7247,5.14
ANGX,2025-12-05,5.2,5.2,4.82,5.0
ANGX,2025-12-08,5.01,5.19,4.74,5.12
ANGX,2025-12-09,5.13,5.33,5.03,5.32
ANGX,2025-12-10,5.24,5.62,5.05,5.28
ANGX,2025-12-11,5.31,5.43,5.1,5.22
ANGX,2025-12-12,5.2481,5.3,4.9,5.07
ANGX,2025-12-15,5.1,5.4,5.05,5.07
ANGX,2025-12-16,5.195,5.29,5.03,5.25
ANGX,2025-12-17,5.25,5.3407,5.0,5.0
ANGX,2025-12-18,5.1724,5.5602,5.14,5.26
ANGX,2025-12-19,5.2695,5.67,5.2,5.39
