ticker,date,open,high,low,close
ATGE,1991-06-21,0.0,1.25,1.19,1.22
ATGE,1991-06-24,0.0,1.23,1.19,1.19
ATGE,1991-06-25,0.0,1.23,1.19,1.19
ATGE,1991-06-26,0.0,1.19,1.09,1.14
ATGE,1991-06-27,0.0,1.16,1.09,1.16
ATGE,1991-06-28,1.09,1.16,1.09,1.16
ATGE,1991-07-01,1.12,1.16,1.12,1.12
ATGE,1991-07-02,1.12,1.16,1.12,1.16
ATGE,1991-07-03,1.12,1.16,1.12,1.12
ATGE,1991-07-05,1.12,1.16,1.12,1.12
ATGE,1991-07-08,1.12,1.19,1.12,1.17
ATGE,1991-07-09,1.16,1.19,1.16,1.16
ATGE,1991-07-10,1.16,1.22,1.16,1.17
ATGE,1991-07-11,1.22,1.22,1.16,1.16
ATGE,1991-07-12,1.16,1.22,1.16,1.22
ATGE,1991-07-15,1.16,1.22,1.16,1.22
ATGE,1991-07-16,1.22,1.25,1.17,1.19
ATGE,1991-07-17,1.22,1.25,1.22,1.25
ATGE,1991-07-18,1.25,1.31,1.23,1.31
ATGE,1991-07-19,1.31,1.31,1.25,1.27
ATGE,1991-07-22,1.25,1.25,1.25,1.25
ATGE,1991-07-23,1.25,1.31,1.25,1.28
ATGE,1991-07-24,1.25,1.31,1.25,1.28
ATGE,1991-07-25,1.31,1.31,1.25,1.31
ATGE,1991-07-26,1.25,1.31,1.25,1.27
ATGE,1991-07-29,1.25,1.31,1.25,1.28
ATGE,1991-07-30,1.31,1.33,1.28,1.31
ATGE,1991-07-31,1.34,1.38,1.28,1.31
ATGE,1991-08-01,1.31,1.38,1.31,1.34
ATGE,1991-08-02,1.38,1.38,1.31,1.38
ATGE,1991-08-05,1.31,1.42,1.31,1.38
ATGE,1991-08-06,1.38,1.47,1.38,1.41
ATGE,1991-08-07,1.47,1.5,1.41,1.5
ATGE,1991-08-08,1.47,1.47,1.41,1.41
ATGE,1991-08-09,1.44,1.44,1.44,1.44
ATGE,1991-08-12,1.5,1.64,1.5,1.56
ATGE,1991-08-13,1.66,1.66,1.59,1.66
ATGE,1991-08-14,1.66,1.69,1.62,1.66
ATGE,1991-08-15,1.66,1.69,1.66,1.66
ATGE,1991-08-16,1.66,1.66,1.62,1.62
ATGE,1991-08-19,1.59,1.59,1.52,1.55
ATGE,1991-08-20,1.53,1.56,1.53,1.56
ATGE,1991-08-21,1.56,1.56,1.53,1.53
ATGE,1991-08-22,1.53,1.67,1.53,1.59
ATGE,1991-08-23,1.66,1.66,1.59,1.66
ATGE,1991-08-26,1.62,1.72,1.62,1.66
ATGE,1991-08-27,1.66,1.75,1.66,1.69
ATGE,1991-08-28,1.69,1.75,1.69,1.69
ATGE,1991-08-29,1.73,1.73,1.69,1.73
ATGE,1991-08-30,1.75,1.75,1.69,1.69
ATGE,1991-09-03,1.69,1.78,1.69,1.75
ATGE,1991-09-04,1.78,1.78,1.75,1.75
ATGE,1991-09-05,1.78,1.78,1.72,1.72
ATGE,1991-09-06,1.75,1.75,1.7,1.72
ATGE,1991-09-09,1.72,1.75,1.72,1.73
ATGE,1991-09-10,1.75,1.75,1.69,1.69
ATGE,1991-09-11,1.72,1.72,1.67,1.69
ATGE,1991-09-12,1.72,1.72,1.72,1.72
ATGE,1991-09-13,1.72,1.72,1.66,1.7
ATGE,1991-09-16,1.66,1.66,1.66,1.66
ATGE,1991-09-17,1.66,1.69,1.66,1.69
ATGE,1991-09-18,1.66,1.69,1.66,1.67
ATGE,1991-09-19,1.67,1.67,1.67,1.67
ATGE,1991-09-20,1.69,1.69,1.66,1.66
ATGE,1991-09-23,1.62,1.66,1.62,1.62
ATGE,1991-09-24,1.69,1.69,1.69,1.69
ATGE,1991-09-25,1.69,1.72,1.62,1.66
ATGE,1991-09-26,1.72,1.72,1.62,1.62
ATGE,1991-09-27,1.72,1.72,1.66,1.66
ATGE,1991-09-30,1.66,1.72,1.66,1.72
ATGE,1991-10-01,1.72,1.75,1.72,1.75
ATGE,1991-10-02,1.73,1.81,1.69,1.81
ATGE,1991-10-03,1.84,1.84,1.78,1.84
