ticker,date,open,high,low,close
AVBC,2025-08-01,14.1,14.95,14.0,14.64
AVBC,2025-08-04,14.63,14.7,14.41,14.51
AVBC,2025-08-05,14.3001,14.67,14.3,14.46
AVBC,2025-08-06,14.46,14.4899,14.26,14.35
AVBC,2025-08-07,14.3101,14.365,14.23,14.31
AVBC,2025-08-08,14.36,14.58,14.26,14.58
AVBC,2025-08-11,14.55,14.65,14.33,14.48
AVBC,2025-08-12,14.5146,14.64,14.36,14.5
AVBC,2025-08-13,14.64,14.67,14.4469,14.49
AVBC,2025-08-14,14.44,14.69,14.4241,14.65
AVBC,2025-08-15,14.68,14.68,14.42,14.6
AVBC,2025-08-18,14.555,14.648,14.45,14.6
AVBC,2025-08-19,14.51,14.94,14.421,14.93
AVBC,2025-08-20,14.83,15.01,14.71,15.0
AVBC,2025-08-21,15.0,15.05,14.89,14.99
AVBC,2025-08-22,14.92,15.08,14.77,14.9
AVBC,2025-08-25,14.9,14.985,14.77,14.81
AVBC,2025-08-26,14.75,15.31,14.73,15.15
AVBC,2025-08-27,15.0,15.33,14.995,15.26
AVBC,2025-08-28,15.28,15.56,15.23,15.56
AVBC,2025-08-29,15.64,15.65,15.47,15.47
AVBC,2025-09-02,15.31,15.72,15.2461,15.5
AVBC,2025-09-03,15.6,15.61,15.04,15.09
AVBC,2025-09-04,15.39,15.46,15.072,15.44
AVBC,2025-09-05,15.365,15.48,15.09,15.09
AVBC,2025-09-08,15.235,15.74,15.235,15.71
AVBC,2025-09-09,15.49,15.698,15.405,15.54
AVBC,2025-09-10,15.64,15.64,15.24,15.41
AVBC,2025-09-11,15.5799,15.69,15.37,15.69
AVBC,2025-09-12,15.615,15.7,15.58,15.66
AVBC,2025-09-15,15.7,15.77,15.45,15.56
AVBC,2025-09-16,15.57,15.88,15.52,15.8
AVBC,2025-09-17,15.59,15.79,15.51,15.75
AVBC,2025-09-18,15.79,15.99,15.7,15.92
AVBC,2025-09-19,15.795,15.94,15.21,15.7
AVBC,2025-09-22,15.715,15.9,15.56,15.87
AVBC,2025-09-23,15.83,15.83,15.7401,15.83
AVBC,2025-09-24,15.9,15.95,15.26,15.26
AVBC,2025-09-25,15.38,15.5,15.29,15.29
AVBC,2025-09-26,15.3786,15.48,15.26,15.27
AVBC,2025-09-29,15.4066,15.41,15.0,15.01
AVBC,2025-09-30,15.03,15.0357,14.835,14.96
AVBC,2025-10-01,14.91,15.07,14.81,14.85
AVBC,2025-10-02,14.88,15.0037,14.73,14.78
AVBC,2025-10-03,14.72,15.14,14.72,14.95
AVBC,2025-10-06,14.785,15.02,14.77,14.8
AVBC,2025-10-07,14.76,14.81,14.65,14.66
AVBC,2025-10-08,14.67,14.91,14.63,14.91
AVBC,2025-10-09,14.9305,14.98,14.69,14.8
AVBC,2025-10-10,14.74,14.965,14.56,14.56
AVBC,2025-10-13,14.53,14.76,14.52,14.73
AVBC,2025-10-14,14.62,14.91,14.615,14.9
AVBC,2025-10-15,14.775,14.877,14.61,14.61
AVBC,2025-10-16,14.6,14.61,14.31,14.37
AVBC,2025-10-17,14.52,14.66,14.31,14.63
AVBC,2025-10-20,14.635,14.9,14.55,14.82
AVBC,2025-10-21,14.64,14.84,14.64,14.84
AVBC,2025-10-22,14.61,14.875,14.61,14.79
AVBC,2025-10-23,14.705,14.7606,14.53,14.58
AVBC,2025-10-24,14.59,14.81,14.57,14.81
AVBC,2025-10-27,14.8615,14.99,14.77,14.9
AVBC,2025-10-28,14.795,15.0,14.795,14.98
AVBC,2025-10-29,14.95,15.09,14.83,14.92
AVBC,2025-10-30,15.0,15.05,14.78,14.8
AVBC,2025-10-31,14.87,15.135,14.76,14.87
AVBC,2025-11-03,14.91,15.38,14.875,15.37
AVBC,2025-11-04,15.24,15.352,15.09,15.09
AVBC,2025-11-05,15.0159,15.31,15.0,15.0
AVBC,2025-11-06,15.0715,15.285,14.94,15.24
AVBC,2025-11-07,15.0735,15.37,15.0735,15.37
AVBC,2025-11-10,15.2037,15.45,15.2,15.2
AVBC,2025-11-11,15.2,15.32,15.18,15.28
AVBC,2025-11-12,15.25,15.28,15.165,15.24
AVBC,2025-11-13,15.12,15.28,15.12,15.13
AVBC,2025-11-14,15.12,15.28,15.04,15.28
AVBC,2025-11-17,15.189,15.26,14.94,14.94
AVBC,2025-11-18,14.915,15.035,14.84,14.94
AVBC,2025-11-19,14.84,15.1,14.84,15.09
AVBC,2025-11-20,15.2,15.28,14.985,15.0
