ticker,date,open,high,low,close
BETA,2025-11-12,35.055,36.15,34.01,36.01
BETA,2025-11-13,36.35,36.43,31.26,32.2
BETA,2025-11-14,31.8383,32.8,30.1,31.4
BETA,2025-11-17,32.0,32.13,27.5,28.0
BETA,2025-11-18,27.72,28.4899,23.71,25.95
BETA,2025-11-19,26.2449,26.78,24.2,24.64
BETA,2025-11-20,25.5108,25.5108,22.89,23.56
BETA,2025-11-21,24.08,25.16,22.4,24.91
BETA,2025-11-24,25.44,26.65,24.32,26.0
BETA,2025-11-25,26.025,27.3099,25.26,25.92
BETA,2025-11-26,26.29,27.34,25.69,26.92
BETA,2025-11-28,26.92,27.45,26.6,27.27
BETA,2025-12-01,27.2,27.2,25.91,26.22
BETA,2025-12-02,26.75,29.3439,26.42,28.37
BETA,2025-12-03,29.375,29.9,28.01,29.5
BETA,2025-12-04,29.73,31.0,27.89,29.84
BETA,2025-12-05,30.0,30.3952,28.03,28.39
BETA,2025-12-08,29.12,31.6333,28.6499,30.31
BETA,2025-12-09,30.35,31.588,30.0818,31.02
BETA,2025-12-10,31.0,32.37,30.06,31.44
BETA,2025-12-11,31.6365,32.2499,31.19,31.39
BETA,2025-12-12,31.3,32.7,29.81,30.02
BETA,2025-12-15,30.05,30.36,29.3201,29.69
BETA,2025-12-16,29.05,29.98,27.75,27.83
BETA,2025-12-17,28.0,29.87,27.8227,27.97
BETA,2025-12-18,28.5,30.5499,28.28,30.08
BETA,2025-12-19,30.8699,30.97,29.86,30.56
