ticker,date,open,high,low,close
BLSH,2025-08-18,68.125,68.3,62.5,63.37
BLSH,2025-08-19,61.56,62.49,57.916,59.51
BLSH,2025-08-20,60.31,62.95,56.38,62.89
BLSH,2025-08-21,61.19,70.39,61.051,69.8
BLSH,2025-08-22,68.155,71.74,66.66,70.82
BLSH,2025-08-25,68.575,68.615,65.0,65.18
BLSH,2025-08-26,63.96,66.26,63.38,66.08
BLSH,2025-08-27,65.8178,66.25,62.24,63.98
BLSH,2025-08-28,63.52,65.25,61.09,64.43
BLSH,2025-08-29,63.1705,63.7,58.81,59.03
BLSH,2025-09-02,57.75,62.15,57.75,62.03
BLSH,2025-09-03,60.58,61.1,53.01,54.26
BLSH,2025-09-04,53.3,53.5,48.29,49.01
BLSH,2025-09-05,50.2,52.5,47.88,52.35
BLSH,2025-09-08,52.1,52.4,49.33,50.12
BLSH,2025-09-09,50.3,54.5,50.2981,53.81
BLSH,2025-09-10,54.1,55.04,51.73,52.62
BLSH,2025-09-11,52.0,57.25,51.6,53.99
BLSH,2025-09-12,55.6,55.67,51.53,51.84
BLSH,2025-09-15,51.92,52.9,50.68,51.08
BLSH,2025-09-16,51.26,51.7,48.52,51.36
BLSH,2025-09-17,51.675,54.9,51.5601,54.35
BLSH,2025-09-18,59.98,66.48,57.1219,65.61
BLSH,2025-09-19,63.65,69.9,62.8,69.18
BLSH,2025-09-22,67.24,69.09,63.44,69.09
BLSH,2025-09-23,69.5,74.98,68.1696,69.49
BLSH,2025-09-24,70.0,70.25,66.35,67.59
BLSH,2025-09-25,65.0,65.55,61.02,61.83
BLSH,2025-09-26,61.95,63.21,59.7,62.59
BLSH,2025-09-29,63.6,64.09,61.31,62.3
BLSH,2025-09-30,62.125,65.4,62.075,63.61
BLSH,2025-10-01,63.9,64.75,60.78,60.81
BLSH,2025-10-02,61.5,67.97,61.18,67.91
BLSH,2025-10-03,68.11,69.28,64.53,64.81
BLSH,2025-10-06,67.6835,69.2,65.57,68.79
BLSH,2025-10-07,69.1,69.29,63.7,65.1
BLSH,2025-10-08,65.0,67.61,63.23,67.41
BLSH,2025-10-09,66.3124,70.5,64.38,66.71
BLSH,2025-10-10,66.47,68.0,60.25,60.41
BLSH,2025-10-13,61.3,62.09,58.06,59.55
BLSH,2025-10-14,57.2863,60.16,57.2817,59.31
BLSH,2025-10-15,59.89,60.0,57.6,58.65
BLSH,2025-10-16,58.92,60.52,57.13,57.55
BLSH,2025-10-17,55.9,58.35,55.6,57.07
BLSH,2025-10-20,57.5,60.1428,57.18,58.76
BLSH,2025-10-21,58.049,58.34,55.21,57.27
BLSH,2025-10-22,56.0,56.552,51.3401,52.63
BLSH,2025-10-23,52.6,54.915,52.6,53.87
BLSH,2025-10-24,55.0,56.1,54.06,54.22
BLSH,2025-10-27,55.835,56.92,55.18,56.31
BLSH,2025-10-28,56.09,56.65,54.01,54.01
BLSH,2025-10-29,53.8361,54.47,52.51,52.57
BLSH,2025-10-30,51.182,51.4988,49.65,49.89
BLSH,2025-10-31,50.3,51.1999,49.88,50.57
BLSH,2025-11-03,50.69,51.33,48.91,50.26
BLSH,2025-11-04,48.8,51.9442,45.5201,45.75
BLSH,2025-11-05,47.28,48.76,45.8201,48.32
BLSH,2025-11-06,48.4,48.55,43.61,44.59
BLSH,2025-11-07,43.25,45.67,42.55,45.08
BLSH,2025-11-10,47.05,47.4,45.155,46.59
BLSH,2025-11-11,46.2,46.59,43.83,45.39
BLSH,2025-11-12,45.35,46.57,44.055,45.5
BLSH,2025-11-13,44.71,44.71,40.7501,41.02
BLSH,2025-11-14,40.025,40.8,38.33,38.48
BLSH,2025-11-17,38.0,38.0,36.02,36.75
BLSH,2025-11-18,36.4527,38.24,36.4527,37.76
BLSH,2025-11-19,36.735,37.2,34.2447,36.39
BLSH,2025-11-20,38.055,39.5799,35.9234,36.5
BLSH,2025-11-21,36.265,39.95,36.265,38.6
BLSH,2025-11-24,39.46,41.59,38.505,41.5
BLSH,2025-11-25,41.69,41.87,39.405,40.5
BLSH,2025-11-26,41.07,43.08,40.7,42.84
BLSH,2025-11-28,43.8,44.47,43.0,43.62
BLSH,2025-12-01,40.88,41.52,39.9093,41.03
BLSH,2025-12-02,41.9,44.34,41.52,43.06
BLSH,2025-12-03,44.13,46.73,42.78,46.37
BLSH,2025-12-04,46.37,48.87,46.25,48.42
BLSH,2025-12-05,48.0,48.0,46.45,46.45
BLSH,2025-12-08,47.15,47.2399,45.05,45.93
BLSH,2025-12-09,45.01,47.73,44.2,46.11
BLSH,2025-12-10,45.48,46.55,44.3001,46.13
BLSH,2025-12-11,45.23,45.72,43.73,45.38
BLSH,2025-12-12,45.49,46.8,43.03,43.54
BLSH,2025-12-15,43.25,43.6969,41.65,42.43
BLSH,2025-12-16,41.925,44.33,41.925,42.96
BLSH,2025-12-17,43.405,44.88,41.94,42.15
BLSH,2025-12-18,43.185,44.6166,42.15,42.88
BLSH,2025-12-19,43.35,45.0,42.81,44.6
