ticker,date,open,high,low,close
CMA,1980-03-17,0.0,2.93,2.81,2.81
CMA,1980-03-18,0.0,2.96,2.85,2.85
CMA,1980-03-19,0.0,3.0,2.89,2.89
CMA,1980-03-20,0.0,3.0,2.89,2.89
CMA,1980-03-21,0.0,2.96,2.85,2.85
CMA,1980-03-24,0.0,2.89,2.78,2.78
CMA,1980-03-25,0.0,2.89,2.78,2.78
CMA,1980-03-26,0.0,2.96,2.85,2.85
CMA,1980-03-27,0.0,2.93,2.81,2.81
CMA,1980-03-28,0.0,2.93,2.81,2.81
CMA,1980-03-31,0.0,2.96,2.85,2.85
CMA,1980-04-01,0.0,3.11,3.0,3.0
CMA,1980-04-02,0.0,3.44,3.33,3.33
CMA,1980-04-03,0.0,3.3,3.19,3.19
CMA,1980-04-07,0.0,3.19,3.07,3.07
CMA,1980-04-08,0.0,3.19,3.07,3.07
CMA,1980-04-09,0.0,3.22,3.11,3.11
CMA,1980-04-10,0.0,3.07,2.96,2.96
CMA,1980-04-11,0.0,3.07,2.96,2.96
CMA,1980-04-14,0.0,3.0,2.89,2.89
CMA,1980-04-15,0.0,2.93,2.81,2.81
CMA,1980-04-16,0.0,3.07,2.96,2.96
CMA,1980-04-17,0.0,3.07,2.96,2.96
CMA,1980-04-18,0.0,3.07,2.96,2.96
CMA,1980-04-21,0.0,3.07,2.96,2.96
CMA,1980-04-22,0.0,3.07,2.96,2.96
CMA,1980-04-23,0.0,3.11,3.0,3.0
CMA,1980-04-24,0.0,3.11,3.0,3.0
CMA,1980-04-25,0.0,3.07,2.96,2.96
CMA,1980-04-28,0.0,3.11,3.0,3.0
CMA,1980-04-29,0.0,3.15,3.04,3.04
CMA,1980-04-30,0.0,3.11,3.0,3.0
CMA,1980-05-01,0.0,3.07,2.96,2.96
CMA,1980-05-02,0.0,3.07,2.96,2.96
CMA,1980-05-05,0.0,3.11,3.0,3.0
CMA,1980-05-06,0.0,3.19,3.07,3.07
CMA,1980-05-07,0.0,3.26,3.15,3.15
CMA,1980-05-08,0.0,3.26,3.15,3.15
CMA,1980-05-09,0.0,3.26,3.15,3.15
CMA,1980-05-12,0.0,3.3,3.19,3.19
CMA,1980-05-13,0.0,3.3,3.19,3.19
CMA,1980-05-14,0.0,3.33,3.22,3.22
CMA,1980-05-15,0.0,3.33,3.22,3.22
CMA,1980-05-16,0.0,3.33,3.22,3.22
CMA,1980-05-19,0.0,3.33,3.22,3.22
CMA,1980-05-20,0.0,3.26,3.15,3.15
CMA,1980-05-21,0.0,3.26,3.15,3.15
CMA,1980-05-22,0.0,3.33,3.22,3.22
CMA,1980-05-23,0.0,3.33,3.22,3.22
CMA,1980-05-27,0.0,3.48,3.37,3.37
CMA,1980-05-28,0.0,3.56,3.44,3.44
CMA,1980-05-29,0.0,3.52,3.41,3.41
CMA,1980-05-30,0.0,3.52,3.41,3.41
CMA,1980-06-02,0.0,3.52,3.41,3.41
CMA,1980-06-03,0.0,3.52,3.41,3.41
CMA,1980-06-04,0.0,3.67,3.56,3.56
CMA,1980-06-05,0.0,3.67,3.56,3.56
CMA,1980-06-06,0.0,3.81,3.7,3.7
CMA,1980-06-09,0.0,3.74,3.63,3.63
CMA,1980-06-10,0.0,3.74,3.63,3.63
CMA,1980-06-11,0.0,3.74,3.63,3.63
CMA,1980-06-12,0.0,3.74,3.63,3.63
CMA,1980-06-13,0.0,3.78,3.67,3.67
CMA,1980-06-16,0.0,3.78,3.67,3.67
CMA,1980-06-17,0.0,3.78,3.67,3.67
CMA,1980-06-18,0.0,3.78,3.67,3.67
CMA,1980-06-19,0.0,3.78,3.67,3.67
CMA,1980-06-20,0.0,3.78,3.67,3.67
CMA,1980-06-23,0.0,3.81,3.7,3.7
CMA,1980-06-24,0.0,3.81,3.7,3.7
CMA,1980-06-25,0.0,3.81,3.7,3.7
CMA,1980-06-26,0.0,3.81,3.7,3.7
CMA,1980-06-27,0.0,3.81,3.7,3.7
CMA,1980-06-30,0.0,3.78,3.67,3.67
CMA,1980-07-01,0.0,3.81,3.7,3.7
CMA,1980-07-02,0.0,3.81,3.7,3.7
CMA,1980-07-03,0.0,3.81,3.7,3.7
CMA,1980-07-07,0.0,3.78,3.74,3.74
CMA,1980-07-08,0.0,3.81,3.74,3.74
CMA,1980-07-09,0.0,3.81,3.74,3.74
CMA,1980-07-10,0.0,3.81,3.74,3.74
CMA,1980-07-11,0.0,3.81,3.78,3.78
CMA,1980-07-14,0.0,3.81,3.78,3.78
