ticker,date,open,high,low,close
CMPO,2020-11-19,9.83,10.21,9.82,9.87
CMPO,2020-11-20,9.85,9.86,9.85,9.86
CMPO,2020-11-23,9.86,10.2,9.86,9.86
CMPO,2020-11-24,9.89,9.98,9.45,9.98
CMPO,2020-11-25,9.9426,9.9426,9.9426,9.9426
CMPO,2020-11-27,9.94,9.94,9.94,9.94
CMPO,2020-11-30,9.9,9.91,9.8837,9.9
CMPO,2020-12-01,9.9,9.93,9.9,9.93
CMPO,2020-12-02,9.9409,9.9409,9.9409,9.9409
CMPO,2020-12-03,9.91,9.95,9.9,9.9
CMPO,2020-12-04,9.94,9.94,9.94,9.94
CMPO,2020-12-07,10.05,10.05,9.96,10.0
CMPO,2020-12-08,10.0069,10.1,10.0039,10.1
CMPO,2020-12-09,10.0411,10.05,10.0366,10.05
CMPO,2020-12-10,10.03,10.08,10.03,10.08
CMPO,2020-12-11,10.19,10.2,10.11,10.17
CMPO,2020-12-14,10.24,10.25,10.1,10.105
CMPO,2020-12-15,10.15,10.18,10.06,10.13
CMPO,2020-12-16,10.105,10.13,10.1,10.13
CMPO,2020-12-17,10.1,10.13,10.0875,10.13
CMPO,2020-12-18,10.22,10.22,10.05,10.06
CMPO,2020-12-21,10.1,10.1,10.1,10.1
CMPO,2020-12-22,10.11,10.15,10.09,10.1
CMPO,2020-12-23,10.093,10.15,10.093,10.1498
CMPO,2020-12-24,10.11,10.22,10.1,10.205
CMPO,2020-12-28,10.26,10.26,10.165,10.2
CMPO,2020-12-29,10.43,10.4667,10.1001,10.11
CMPO,2020-12-30,10.137,10.2,10.137,10.18
CMPO,2020-12-31,10.122,10.15,10.1,10.11
CMPO,2021-01-04,10.25,10.25,10.14,10.17
CMPO,2021-01-05,10.2,10.2465,10.1708,10.19
CMPO,2021-01-06,10.32,10.32,10.15,10.24
CMPO,2021-01-07,10.22,10.24,10.19,10.2163
CMPO,2021-01-08,10.345,10.4,10.26,10.32
CMPO,2021-01-11,10.32,10.4,10.2715,10.3168
CMPO,2021-01-12,10.35,10.44,10.3389,10.37
CMPO,2021-01-13,10.37,10.54,10.36,10.4699
CMPO,2021-01-14,10.4601,10.58,10.35,10.55
CMPO,2021-01-15,10.53,10.58,10.28,10.42
CMPO,2021-01-19,10.33,10.51,10.33,10.5
CMPO,2021-01-20,10.3377,10.47,10.3377,10.4
CMPO,2021-01-21,10.5068,10.5068,10.41,10.41
CMPO,2021-01-22,10.36,10.4799,10.36,10.41
CMPO,2021-01-25,10.46,10.75,10.46,10.64
CMPO,2021-01-26,10.61,10.63,10.45,10.57
CMPO,2021-01-27,10.53,10.53,10.18,10.1801
CMPO,2021-01-28,10.44,10.44,10.2,10.3
CMPO,2021-01-29,10.26,10.4,10.2268,10.31
CMPO,2021-02-01,10.31,10.45,10.31,10.42
CMPO,2021-02-02,10.44,10.45,10.35,10.4
CMPO,2021-02-03,10.4,10.425,10.3802,10.4
CMPO,2021-02-04,10.405,10.5,10.405,10.45
CMPO,2021-02-05,10.5001,10.54,10.37,10.4
CMPO,2021-02-08,10.55,10.55,10.4,10.4
CMPO,2021-02-09,10.45,10.45,10.38,10.4
CMPO,2021-02-10,10.41,10.45,10.33,10.36
CMPO,2021-02-11,10.355,10.41,10.33,10.34
CMPO,2021-02-12,10.3,10.45,10.22,10.29
CMPO,2021-02-16,10.42,10.45,10.32,10.34
CMPO,2021-02-17,10.43,10.45,10.39,10.45
CMPO,2021-02-18,10.4,10.4499,10.4,10.4
CMPO,2021-02-19,10.41,10.53,10.41,10.52
CMPO,2021-02-22,10.53,10.54,10.45,10.5
CMPO,2021-02-23,10.48,10.48,10.19,10.39
CMPO,2021-02-24,10.31,10.45,10.31,10.42
CMPO,2021-02-25,10.42,10.44,10.26,10.35
CMPO,2021-02-26,10.31,10.4,10.26,10.33
CMPO,2021-03-01,10.3401,10.45,10.33,10.4
CMPO,2021-03-02,10.45,10.45,10.13,10.16
CMPO,2021-03-03,10.15,10.1595,9.905,9.95
CMPO,2021-03-04,10.0,10.35,9.9,10.11
CMPO,2021-03-05,10.17,10.17,9.9,10.07
CMPO,2021-03-08,9.98,10.2957,9.98,10.16
CMPO,2021-03-09,10.25,10.25,9.995,10.02
CMPO,2021-03-10,10.02,10.02,9.91,10.0
CMPO,2021-03-11,10.01,10.25,9.985,10.02
CMPO,2021-03-12,10.0729,10.19,9.96,9.99
CMPO,2021-03-15,10.0899,10.22,10.02,10.03
CMPO,2021-03-16,10.1527,10.25,9.95,10.2
CMPO,2021-03-17,10.04,10.2,9.96,10.03
CMPO,2021-03-18,10.06,10.06,10.0001,10.06
CMPO,2021-03-19,10.06,10.06,9.97,9.99
CMPO,2021-03-22,10.0615,10.0628,9.9,9.9
CMPO,2021-03-23,9.98,10.0095,9.91,9.92
CMPO,2021-03-24,9.92,10.045,9.9,10.005
CMPO,2021-03-25,9.89,9.99,9.85,9.92
CMPO,2021-03-26,9.879,10.03,9.879,10.025
CMPO,2021-03-29,10.06,10.06,9.98,10.03
CMPO,2021-03-30,9.99,9.99,9.89,9.9206
CMPO,2021-03-31,9.999,10.09,9.9,9.95
CMPO,2021-04-01,9.9638,9.97,9.88,9.95
CMPO,2021-04-05,9.87,9.932,9.87,9.932
CMPO,2021-04-06,9.8601,9.93,9.8601,9.92
CMPO,2021-04-07,9.95,9.95,9.91,9.931
CMPO,2021-04-08,9.92,10.03,9.92,9.97
CMPO,2021-04-09,9.9998,9.9998,9.931,9.95
CMPO,2021-04-12,9.9699,9.97,9.95,9.97
CMPO,2021-04-13,9.97,10.05,9.955,10.0
CMPO,2021-04-14,10.02,10.1,9.99,10.1
CMPO,2021-04-15,10.0016,10.09,9.99,10.03
CMPO,2021-04-16,10.0899,10.09,10.0183,10.09
CMPO,2021-04-19,10.1,10.2,10.05,10.11
CMPO,2021-04-20,10.07,10.18,9.99,10.1
CMPO,2021-04-21,10.09,10.15,10.01,10.14
CMPO,2021-04-22,10.14,10.15,10.12,10.13
CMPO,2021-04-23,10.15,10.187,10.1001,10.17
CMPO,2021-04-26,10.15,10.1799,10.13,10.14
CMPO,2021-04-27,10.15,10.16,10.11,10.14
CMPO,2021-04-28,10.14,10.17,10.11,10.14
CMPO,2021-04-29,10.17,10.18,10.1,10.13
CMPO,2021-04-30,10.1201,10.14,10.115,10.14
CMPO,2021-05-03,10.12,10.15,10.05,10.09
CMPO,2021-05-04,10.11,10.11,10.06,10.1
CMPO,2021-05-05,10.1,10.1,10.08,10.09
CMPO,2021-05-06,10.09,10.14,10.09,10.11
CMPO,2021-05-07,10.11,10.11,10.08,10.09
CMPO,2021-05-10,9.97,10.11,9.96,10.06
CMPO,2021-05-11,10.05,10.15,10.0,10.08
CMPO,2021-05-12,10.03,10.07,10.02,10.06
CMPO,2021-05-13,10.06,10.1,10.05,10.09
