ticker,date,open,high,low,close
CRCL,2025-06-05,69.5,103.75,64.0,83.23
CRCL,2025-06-06,96.39,123.515,92.95,107.7
CRCL,2025-06-09,132.72,138.57,108.4,115.25
CRCL,2025-06-10,115.0,115.0,101.51,105.91
CRCL,2025-06-11,107.0,120.49,106.5,117.2
CRCL,2025-06-12,117.5,117.931,104.265,106.54
CRCL,2025-06-13,108.8,134.72,108.8,133.56
CRCL,2025-06-16,147.54,165.6,145.88,151.06
CRCL,2025-06-17,156.5,164.42,143.53,149.15
CRCL,2025-06-18,153.22,200.9,148.0,199.59
CRCL,2025-06-20,231.5,248.88,206.17,240.6
CRCL,2025-06-23,238.46,298.99,232.48,263.45
CRCL,2025-06-24,250.375,265.0,217.58,222.65
CRCL,2025-06-25,218.545,227.54,198.0,198.62
CRCL,2025-06-26,209.04,226.95,205.68,213.63
CRCL,2025-06-27,223.647,223.647,175.6,180.43
CRCL,2025-06-30,181.77,192.5,178.01,181.29
CRCL,2025-07-01,184.67,194.0,171.5,192.53
CRCL,2025-07-02,188.38,189.0,176.0,177.97
CRCL,2025-07-03,182.0,192.5,181.39,188.77
CRCL,2025-07-07,193.75,208.6,186.6,207.46
CRCL,2025-07-08,199.765,209.5,196.0,204.81
CRCL,2025-07-09,209.36,215.55,197.25,200.68
CRCL,2025-07-10,208.846,209.56,199.0,202.9
CRCL,2025-07-11,187.33,187.33,182.5,187.33
CRCL,2025-07-14,189.27,204.91,185.54,204.78
CRCL,2025-07-15,198.0,203.46,188.1,195.33
CRCL,2025-07-16,203.525,239.698,201.32,233.2
CRCL,2025-07-17,225.585,244.36,220.01,235.08
CRCL,2025-07-18,244.9,262.97,222.49,223.78
CRCL,2025-07-21,226.4,231.88,213.33,216.1
CRCL,2025-07-22,207.55,211.99,192.93,198.31
CRCL,2025-07-23,198.38,202.5,195.08,202.41
CRCL,2025-07-24,199.75,201.25,189.23,193.08
CRCL,2025-07-25,192.805,195.7,187.5,192.86
CRCL,2025-07-28,196.975,197.9,183.91,185.36
CRCL,2025-07-29,187.875,190.75,180.682,181.64
CRCL,2025-07-30,182.62,193.334,182.1,190.5
CRCL,2025-07-31,188.755,189.87,183.0,183.54
CRCL,2025-08-01,176.93,181.55,167.3,168.16
CRCL,2025-08-04,172.1,172.1,154.5,164.82
CRCL,2025-08-05,159.995,164.32,153.91,153.93
CRCL,2025-08-06,150.05,162.43,149.0,161.71
CRCL,2025-08-07,167.68,169.92,151.1,152.93
CRCL,2025-08-08,154.99,163.22,154.117,159.03
CRCL,2025-08-11,161.005,169.8,155.527,161.635
CRCL,2025-08-12,186.3,189.92,161.51,163.21
CRCL,2025-08-13,156.64,164.64,152.15,153.16
CRCL,2025-08-14,152.0,156.8,136.4,139.23
CRCL,2025-08-15,141.155,151.47,139.25,149.26
CRCL,2025-08-18,148.695,149.45,141.35,141.58
CRCL,2025-08-19,143.98,144.65,133.11,135.23
CRCL,2025-08-20,136.94,139.5,129.1,137.81
CRCL,2025-08-21,135.0,136.99,131.59,131.8
CRCL,2025-08-22,132.99,144.7,131.06,135.04
CRCL,2025-08-25,134.36,135.32,124.7,125.24
CRCL,2025-08-26,125.6,130.25,124.16,129.05
CRCL,2025-08-27,129.04,130.263,126.01,127.4
CRCL,2025-08-28,129.0,132.78,127.663,130.94
CRCL,2025-08-29,131.07,135.97,129.0,131.98
CRCL,2025-09-02,128.08,131.69,119.6,120.14
CRCL,2025-09-03,121.805,122.271,116.6,118.46
CRCL,2025-09-04,117.9,120.32,115.08,117.49
CRCL,2025-09-05,118.05,118.8,108.02,114.56
CRCL,2025-09-08,114.0,117.78,110.05,112.46
CRCL,2025-09-09,113.02,120.75,112.62,117.99
CRCL,2025-09-10,119.82,124.98,113.17,113.69
CRCL,2025-09-11,114.2,136.49,113.3,133.7
CRCL,2025-09-12,134.85,134.9,124.5,125.32
CRCL,2025-09-15,129.9,135.78,125.08,134.05
CRCL,2025-09-16,139.6,142.55,133.92,134.81
CRCL,2025-09-17,135.11,146.5,128.26,131.04
CRCL,2025-09-18,134.74,143.58,134.07,140.42
CRCL,2025-09-19,145.05,147.7,139.53,144.14
CRCL,2025-09-22,139.53,140.71,134.56,137.64
CRCL,2025-09-23,138.67,141.6,130.7,130.97
CRCL,2025-09-24,134.61,136.34,130.04,131.58
CRCL,2025-09-25,128.5,130.26,124.3,124.66
CRCL,2025-09-26,125.42,128.49,122.83,126.99
CRCL,2025-09-29,129.49,137.8,128.5,133.66
CRCL,2025-09-30,136.2,137.99,132.37,132.58
CRCL,2025-10-01,133.55,137.267,127.6,129.03
CRCL,2025-10-02,133.05,152.05,132.75,149.72
CRCL,2025-10-03,148.03,156.47,144.14,145.78
CRCL,2025-10-06,154.01,154.1718,145.56,148.51
CRCL,2025-10-07,152.0,157.56,144.1842,148.72
CRCL,2025-10-08,150.3,152.16,143.55,150.46
CRCL,2025-10-09,150.8,153.88,145.8,150.48
