ticker,date,open,high,low,close
DAY,2018-04-26,28.9,31.75,28.65,31.21
DAY,2018-04-27,30.95,31.5,29.68,30.52
DAY,2018-04-30,30.76,32.0,30.21,31.58
DAY,2018-05-01,31.42,32.4,31.26,31.48
DAY,2018-05-02,31.48,33.65,31.48,32.75
DAY,2018-05-03,32.63,34.43,32.53,33.79
DAY,2018-05-04,33.88,34.89,33.8,34.09
DAY,2018-05-07,34.09,34.7,33.9,33.99
DAY,2018-05-08,34.48,34.77,32.46,32.95
DAY,2018-05-09,33.13,34.25,33.045,33.47
DAY,2018-05-10,33.59,33.87,32.83,33.13
DAY,2018-05-11,33.32,34.63,33.165,34.38
DAY,2018-05-14,34.5,37.1299,33.36,36.48
DAY,2018-05-15,36.61,37.3054,36.46,36.95
DAY,2018-05-16,37.41,37.41,35.74,37.2
DAY,2018-05-17,37.2,38.41,36.66,38.33
DAY,2018-05-18,38.44,38.87,36.52,36.82
DAY,2018-05-21,36.43,36.62,34.7975,35.16
DAY,2018-05-22,35.08,35.92,33.2,34.32
DAY,2018-05-23,34.14,34.5,33.7601,33.97
DAY,2018-05-24,34.11,34.31,33.527,33.71
DAY,2018-05-25,33.57,33.87,33.22,33.6
DAY,2018-05-29,33.4,34.34,33.0,34.24
DAY,2018-05-30,34.23,34.75,33.79,34.67
DAY,2018-05-31,34.63,34.9979,34.28,34.52
DAY,2018-06-01,35.01,35.01,34.01,34.53
DAY,2018-06-04,34.44,36.26,34.39,35.96
DAY,2018-06-05,35.97,36.68,35.95,36.35
DAY,2018-06-06,36.56,38.64,36.56,38.16
DAY,2018-06-07,38.27,38.85,36.68,37.11
DAY,2018-06-08,36.47,37.65,35.95,37.4
DAY,2018-06-11,37.83,38.23,36.27,36.49
DAY,2018-06-12,36.48,37.82,36.39,37.62
DAY,2018-06-13,37.53,37.83,37.2259,37.66
DAY,2018-06-14,37.46,41.02,35.4,38.19
DAY,2018-06-15,38.15,38.86,37.26,38.45
DAY,2018-06-18,38.36,42.46,38.34,39.78
DAY,2018-06-19,39.26,39.62,37.0,37.2
DAY,2018-06-20,37.32,38.2445,36.99,37.01
DAY,2018-06-21,36.85,37.48,36.4,36.55
DAY,2018-06-22,36.51,36.7,35.7,35.75
DAY,2018-06-25,35.67,35.67,34.7,34.82
DAY,2018-06-26,34.99,35.47,34.74,35.03
DAY,2018-06-27,35.0,35.0,34.27,34.33
DAY,2018-06-28,34.21,34.265,33.61,34.04
DAY,2018-06-29,33.87,34.12,33.14,33.19
DAY,2018-07-02,33.18,33.275,32.03,32.82
DAY,2018-07-03,32.83,33.49,32.4,33.38
