ticker,date,open,high,low,close
ELP,1998-06-03,5.25,5.25,4.84,4.91
ELP,1998-06-04,4.84,4.97,4.69,4.97
ELP,1998-06-05,5.03,5.06,4.97,4.97
ELP,1998-06-08,4.97,4.97,4.75,4.88
ELP,1998-06-09,4.97,4.97,4.75,4.84
ELP,1998-06-10,4.56,4.78,4.5,4.53
ELP,1998-06-11,4.56,4.56,4.06,4.31
ELP,1998-06-12,4.19,4.28,4.16,4.22
ELP,1998-06-15,4.25,4.25,3.88,3.88
ELP,1998-06-16,4.06,4.12,3.91,4.06
ELP,1998-06-17,4.31,4.56,4.31,4.56
ELP,1998-06-18,4.56,4.56,4.41,4.44
ELP,1998-06-19,4.44,4.69,4.44,4.66
ELP,1998-06-22,4.72,4.72,4.53,4.69
ELP,1998-06-23,4.69,4.75,4.66,4.69
ELP,1998-06-24,4.62,4.72,4.53,4.72
ELP,1998-06-25,4.69,4.75,4.41,4.41
ELP,1998-06-26,4.5,4.5,4.28,4.34
ELP,1998-06-29,4.41,4.62,4.41,4.5
ELP,1998-06-30,4.44,4.75,4.44,4.62
ELP,1998-07-01,4.69,4.69,4.56,4.66
ELP,1998-07-02,4.62,4.62,4.5,4.59
ELP,1998-07-06,4.59,4.97,4.59,4.97
ELP,1998-07-07,5.0,5.44,5.0,5.38
ELP,1998-07-08,5.38,5.38,5.28,5.31
ELP,1998-07-09,5.31,5.44,5.25,5.38
ELP,1998-07-10,5.38,5.38,5.31,5.31
ELP,1998-07-13,5.31,5.38,5.19,5.19
ELP,1998-07-14,5.16,5.62,5.16,5.62
ELP,1998-07-15,5.62,5.75,5.59,5.69
ELP,1998-07-16,5.75,6.0,5.69,6.0
ELP,1998-07-17,6.06,6.12,5.94,5.94
ELP,1998-07-20,5.94,5.94,5.81,5.81
ELP,1998-07-21,5.88,6.0,5.69,5.69
ELP,1998-07-22,5.69,5.69,5.53,5.56
ELP,1998-07-23,5.53,5.59,5.5,5.53
ELP,1998-07-24,5.59,5.59,5.38,5.38
ELP,1998-07-27,5.38,5.38,4.97,5.0
ELP,1998-07-28,5.06,5.19,5.0,5.06
ELP,1998-07-29,5.12,5.5,5.06,5.5
ELP,1998-07-30,5.47,5.59,5.47,5.56
ELP,1998-07-31,5.59,5.59,5.38,5.44
ELP,1998-08-03,5.41,5.41,5.25,5.31
ELP,1998-08-04,5.28,5.28,5.0,5.09
ELP,1998-08-05,5.06,5.12,5.03,5.03
ELP,1998-08-06,5.09,5.09,5.0,5.06
ELP,1998-08-07,5.03,5.06,4.84,4.88
ELP,1998-08-10,4.81,4.81,4.41,4.5
ELP,1998-08-11,4.44,4.44,3.94,4.06
ELP,1998-08-12,4.12,4.25,4.06,4.09
ELP,1998-08-13,4.12,4.22,4.06,4.22
ELP,1998-08-14,4.25,4.31,4.12,4.25
ELP,1998-08-17,4.19,4.19,4.06,4.12
ELP,1998-08-18,4.19,4.19,3.88,4.06
ELP,1998-08-19,4.12,4.12,3.81,3.97
ELP,1998-08-20,3.75,3.75,3.5,3.62
ELP,1998-08-21,3.56,3.56,3.06,3.31
ELP,1998-08-24,3.38,3.44,3.19,3.22
ELP,1998-08-25,3.31,3.31,3.19,3.19
ELP,1998-08-26,3.19,3.25,2.88,3.0
ELP,1998-08-27,2.94,2.97,2.62,2.69
ELP,1998-08-28,2.69,2.75,2.59,2.75
ELP,1998-08-31,2.75,2.81,2.72,2.75
ELP,1998-09-01,2.75,2.97,2.75,2.88
ELP,1998-09-02,2.94,3.09,2.62,2.66
ELP,1998-09-03,2.66,2.66,2.38,2.44
ELP,1998-09-04,2.47,2.5,1.94,2.0
ELP,1998-09-08,2.06,2.16,1.88,1.91
ELP,1998-09-09,1.91,1.91,1.75,1.81
ELP,1998-09-10,1.62,1.66,1.47,1.59
ELP,1998-09-11,1.62,1.81,1.62,1.75
ELP,1998-09-14,1.81,2.0,1.69,1.97
