ticker,date,open,high,low,close
EMA,2025-06-16,45.205,45.56,44.89,45.12
EMA,2025-06-17,45.26,45.26,44.7,45.11
EMA,2025-06-18,44.71,44.8,44.45,44.49
EMA,2025-06-20,44.66,44.715,44.12,44.16
EMA,2025-06-23,44.33,45.01,44.33,44.82
EMA,2025-06-24,44.855,45.27,44.78,44.89
EMA,2025-06-25,44.715,44.88,44.155,44.85
EMA,2025-06-26,44.97,45.34,44.71,44.93
EMA,2025-06-27,44.59,45.42,44.555,44.97
EMA,2025-06-30,45.08,45.83,45.08,45.82
EMA,2025-07-01,46.02,46.45,45.77,46.03
EMA,2025-07-02,45.61,45.83,45.12,45.39
EMA,2025-07-03,45.34,45.56,45.13,45.49
EMA,2025-07-07,45.465,45.7,45.39,45.58
EMA,2025-07-08,45.44,45.46,45.07,45.44
EMA,2025-07-09,45.66,45.66,45.29,45.59
EMA,2025-07-10,45.47,46.0,45.43,45.77
EMA,2025-07-11,45.75,46.08,45.75,46.07
EMA,2025-07-14,46.1,46.19,45.57,45.69
EMA,2025-07-15,45.735,45.735,45.35,45.5
EMA,2025-07-16,45.475,45.77,45.33,45.57
EMA,2025-07-17,45.1,45.3167,44.86,45.14
EMA,2025-07-18,45.175,45.76,45.175,45.66
EMA,2025-07-21,45.87,46.25,45.82,46.25
EMA,2025-07-22,46.498,47.05,46.48,46.87
EMA,2025-07-23,46.98,47.01,46.52,46.64
EMA,2025-07-24,46.44,46.865,46.42,46.65
EMA,2025-07-25,46.59,46.74,46.29,46.72
EMA,2025-07-28,46.2,46.56,46.15,46.24
EMA,2025-07-29,46.44,46.62,46.35,46.58
EMA,2025-07-30,46.55,47.03,46.55,47.0
EMA,2025-07-31,46.935,47.17,46.74,47.0
EMA,2025-08-01,46.52,47.13,46.52,46.75
EMA,2025-08-04,46.8,47.735,46.8,47.36
EMA,2025-08-05,47.42,47.53,46.91,47.06
EMA,2025-08-06,47.13,47.47,47.07,47.21
EMA,2025-08-07,47.32,48.12,47.24,48.07
EMA,2025-08-08,48.738,49.01,48.47,48.72
EMA,2025-08-11,48.005,48.32,47.64,47.82
EMA,2025-08-12,47.62,47.7,47.23,47.38
EMA,2025-08-13,47.53,47.72,47.06,47.11
EMA,2025-08-14,46.875,47.655,46.875,47.56
EMA,2025-08-15,47.57,47.9,47.48,47.86
EMA,2025-08-18,48.21,48.32,47.52,47.73
EMA,2025-08-19,47.92,47.92,47.43,47.59
EMA,2025-08-20,48.05,48.18,47.895,47.96
