ticker,date,open,high,low,close
EMBJ,2025-11-13,63.84,64.05,62.58,62.64
EMBJ,2025-11-14,62.77,63.09,62.12,62.88
EMBJ,2025-11-17,63.48,64.05,62.68,63.2
EMBJ,2025-11-18,63.1,63.79,62.3,63.29
EMBJ,2025-11-19,63.22,65.01,63.22,64.57
EMBJ,2025-11-20,65.0,65.78,61.05,62.05
EMBJ,2025-11-21,62.66,62.76,60.585,60.99
EMBJ,2025-11-24,61.4,61.46,60.7,60.94
EMBJ,2025-11-25,61.32,61.68,59.73,60.99
EMBJ,2025-11-26,61.58,62.4063,61.11,61.93
EMBJ,2025-11-28,62.225,62.84,62.07,62.72
EMBJ,2025-12-01,62.66,62.9,61.27,61.61
EMBJ,2025-12-02,62.61,64.45,62.49,63.69
EMBJ,2025-12-03,63.33,65.43,62.795,65.1
EMBJ,2025-12-04,65.7,66.0,63.572,63.66
EMBJ,2025-12-05,64.08,64.22,60.33,61.86
EMBJ,2025-12-08,63.73,64.07,63.02,63.72
EMBJ,2025-12-09,63.54,66.04,63.54,65.68
EMBJ,2025-12-10,64.91,66.0,64.895,65.21
EMBJ,2025-12-11,64.24,65.05,63.51,64.52
EMBJ,2025-12-12,65.6,66.05,64.02,64.04
EMBJ,2025-12-15,65.045,65.64,64.41,64.54
EMBJ,2025-12-16,64.16,65.44,64.15,64.99
EMBJ,2025-12-17,64.69,64.69,62.215,62.42
EMBJ,2025-12-18,62.615,64.365,62.4,63.33
EMBJ,2025-12-19,64.095,64.89,63.165,63.56
