ticker,date,open,high,low,close
EVMN,2025-11-12,20.0,20.39,19.11,19.52
EVMN,2025-11-13,19.0,19.53,18.22,18.22
EVMN,2025-11-14,18.25,18.8,18.135,18.3
EVMN,2025-11-17,18.52,19.995,18.4949,19.45
EVMN,2025-11-18,20.315,20.775,19.49,20.19
EVMN,2025-11-19,20.54,20.83,19.1,19.29
EVMN,2025-11-20,19.8,20.285,18.45,18.71
EVMN,2025-11-21,18.36,19.5,18.36,18.71
EVMN,2025-11-24,19.05,20.0,18.9,19.38
EVMN,2025-11-25,19.255,20.0,18.6,18.75
EVMN,2025-11-26,19.432,19.69,18.6,19.41
EVMN,2025-11-28,19.4,20.74,19.33,20.71
EVMN,2025-12-01,22.83,22.83,20.51,20.91
EVMN,2025-12-02,21.24,22.0,20.59,21.05
EVMN,2025-12-03,21.535,22.22,20.7876,21.22
EVMN,2025-12-04,21.59,22.68,21.05,21.93
EVMN,2025-12-05,22.31,22.49,21.69,21.9
EVMN,2025-12-08,22.31,22.5591,18.075,18.44
EVMN,2025-12-09,18.72,19.04,17.83,17.84
EVMN,2025-12-10,17.92,20.47,17.89,19.61
EVMN,2025-12-11,20.0,20.54,19.45,19.69
EVMN,2025-12-12,20.85,20.85,17.2024,18.01
EVMN,2025-12-15,18.4685,19.225,17.6,17.63
EVMN,2025-12-16,18.41,18.42,15.79,15.86
EVMN,2025-12-17,16.52,16.52,15.43,15.92
EVMN,2025-12-18,16.2,16.2,13.885,15.01
EVMN,2025-12-19,15.295,19.4,15.295,18.25
