ticker,date,open,high,low,close
GES,1996-08-08,9.0,9.12,9.0,9.0
GES,1996-08-09,9.0,9.06,8.06,8.12
GES,1996-08-12,8.0,8.19,7.44,8.19
GES,1996-08-13,8.19,8.38,7.88,8.0
GES,1996-08-14,8.06,8.12,7.75,7.88
GES,1996-08-15,7.88,7.94,7.81,7.88
GES,1996-08-16,7.88,8.19,7.88,8.12
GES,1996-08-19,8.19,8.19,7.88,7.88
GES,1996-08-20,7.94,8.0,7.88,8.0
GES,1996-08-21,8.0,8.25,7.81,8.12
GES,1996-08-22,8.06,8.12,8.0,8.12
GES,1996-08-23,8.19,8.38,8.12,8.31
GES,1996-08-26,8.38,8.38,8.25,8.31
GES,1996-08-27,8.38,8.44,8.31,8.38
GES,1996-08-28,8.44,8.69,8.38,8.69
GES,1996-08-29,8.69,8.69,8.44,8.44
GES,1996-08-30,8.38,8.44,8.12,8.44
GES,1996-09-03,8.44,8.44,8.25,8.38
GES,1996-09-04,8.38,8.38,8.19,8.38
GES,1996-09-05,8.31,8.38,8.19,8.25
GES,1996-09-06,8.25,8.38,8.0,8.0
GES,1996-09-09,8.0,8.06,7.81,8.0
GES,1996-09-10,8.0,8.0,7.62,7.75
GES,1996-09-11,7.75,7.94,7.75,7.88
GES,1996-09-12,7.81,7.88,7.56,7.69
GES,1996-09-13,7.69,7.81,7.56,7.81
GES,1996-09-16,7.88,7.88,7.69,7.75
GES,1996-09-17,7.69,7.75,7.62,7.69
GES,1996-09-18,7.75,7.81,7.5,7.69
GES,1996-09-19,7.75,7.81,7.5,7.75
GES,1996-09-20,7.81,7.81,7.69,7.81
GES,1996-09-23,7.75,7.81,7.69,7.69
GES,1996-09-24,7.69,7.75,7.5,7.62
GES,1996-09-25,7.5,7.5,6.81,7.06
GES,1996-09-26,7.06,7.19,6.88,6.88
GES,1996-09-27,6.88,6.94,6.44,6.75
GES,1996-09-30,6.75,6.81,6.38,6.62
GES,1996-10-01,6.62,7.0,6.62,6.81
GES,1996-10-02,6.88,7.19,6.81,7.19
GES,1996-10-03,7.12,7.19,7.06,7.06
GES,1996-10-04,6.94,7.06,6.69,6.94
GES,1996-10-07,6.94,6.94,6.81,6.94
GES,1996-10-08,6.75,7.06,6.62,7.06
GES,1996-10-09,7.06,7.19,6.75,6.88
GES,1996-10-10,6.94,7.0,6.75,6.81
GES,1996-10-11,6.75,6.81,6.69,6.75
GES,1996-10-14,6.75,7.0,6.69,6.75
GES,1996-10-15,6.75,6.81,6.69,6.69
GES,1996-10-16,6.88,6.94,6.62,6.81
GES,1996-10-17,6.88,7.0,6.81,6.81
GES,1996-10-18,6.81,7.12,6.81,7.0
GES,1996-10-21,7.0,7.19,6.94,6.94
GES,1996-10-22,6.88,7.31,6.88,7.0
