ticker,date,open,high,low,close
LAR,2025-02-03,2.51,2.51,2.42,2.47
LAR,2025-02-04,2.46,2.62,2.46,2.58
LAR,2025-02-05,2.57,2.65,2.54,2.6
LAR,2025-02-06,2.59,2.66,2.49,2.54
LAR,2025-02-07,2.52,2.55,2.47,2.5
LAR,2025-02-10,2.515,2.55,2.475,2.52
LAR,2025-02-11,2.48,2.48,2.35,2.39
LAR,2025-02-12,2.36,2.595,2.35,2.51
LAR,2025-02-13,2.5,2.6,2.5,2.6
LAR,2025-02-14,2.64,2.7,2.49,2.57
LAR,2025-02-18,2.54,2.65,2.52,2.64
LAR,2025-02-19,2.607,2.61,2.54,2.55
LAR,2025-02-20,2.58,2.62,2.53,2.59
LAR,2025-02-21,2.61,2.62,2.42,2.46
LAR,2025-02-24,2.46,2.47,2.35,2.41
LAR,2025-02-25,2.38,2.42,2.29,2.34
LAR,2025-02-26,2.33,2.44,2.32,2.32
LAR,2025-02-27,2.31,2.375,2.2,2.23
LAR,2025-02-28,2.235,2.235,2.15,2.2
LAR,2025-03-03,2.2,2.28,2.0301,2.05
LAR,2025-03-04,2.0189,2.14,1.975,2.09
LAR,2025-03-05,2.13,2.335,2.13,2.33
LAR,2025-03-06,2.32,2.32,2.2001,2.29
LAR,2025-03-07,2.28,2.29,2.185,2.25
LAR,2025-03-10,2.2,2.24,2.08,2.13
LAR,2025-03-11,2.1293,2.175,2.06,2.15
LAR,2025-03-12,2.19,2.24,2.15,2.19
LAR,2025-03-13,2.18,2.285,2.13,2.18
LAR,2025-03-14,2.21,2.24,2.1801,2.23
LAR,2025-03-17,2.22,2.3,2.22,2.3
LAR,2025-03-18,2.29,2.58,2.29,2.51
LAR,2025-03-19,2.45,2.5091,2.44,2.47
LAR,2025-03-20,2.44,2.5,2.425,2.45
LAR,2025-03-21,2.42,2.42,2.33,2.34
LAR,2025-03-24,2.375,2.4,2.325,2.34
LAR,2025-03-25,2.42,2.42,2.24,2.29
LAR,2025-03-26,2.3,2.32,2.25,2.27
LAR,2025-03-27,2.27,2.32,2.23,2.3
LAR,2025-03-28,2.37,2.38,2.125,2.15
LAR,2025-03-31,2.101,2.16,2.07,2.14
LAR,2025-04-01,2.15,2.195,2.1299,2.16
LAR,2025-04-02,2.13,2.16,2.1,2.14
LAR,2025-04-03,2.06,2.095,2.02,2.03
LAR,2025-04-04,1.99,2.0,1.83,1.9
LAR,2025-04-07,1.83,1.995,1.8,1.87
LAR,2025-04-08,1.94,1.94,1.73,1.76
LAR,2025-04-09,1.76,2.04,1.76,2.03
LAR,2025-04-10,1.99,1.99,1.89,1.99
LAR,2025-04-11,2.0,2.11,2.0,2.08
LAR,2025-04-14,2.1436,2.2,2.11,2.13
LAR,2025-04-15,2.11,2.11,2.02,2.06
LAR,2025-04-16,2.022,2.095,2.022,2.06
LAR,2025-04-17,2.06,2.095,2.015,2.04
LAR,2025-04-21,2.035,2.035,1.93,1.97
LAR,2025-04-22,2.02,2.04,1.98,2.02
LAR,2025-04-23,2.04,2.1,1.98,1.99
LAR,2025-04-24,2.02,2.15,2.015,2.14
LAR,2025-04-25,2.13,2.155,2.08,2.12
LAR,2025-04-28,2.13,2.14,2.06,2.12
LAR,2025-04-29,2.12,2.15,2.09,2.1
LAR,2025-04-30,2.05,2.05,1.99,2.05
LAR,2025-05-01,2.02,2.08,2.0,2.03
LAR,2025-05-02,2.05,2.11,2.04,2.06
LAR,2025-05-05,2.03,2.03,2.01,2.03
LAR,2025-05-06,2.0075,2.06,2.0,2.03
LAR,2025-05-07,2.03,2.0493,1.99,2.03
LAR,2025-05-08,2.05,2.13,2.02,2.11
LAR,2025-05-09,2.1211,2.16,2.085,2.13
LAR,2025-05-12,2.195,2.28,2.11,2.11
LAR,2025-05-13,2.07,2.1289,2.07,2.1
LAR,2025-05-14,2.07,2.1,2.0,2.05
LAR,2025-05-15,1.94,1.94,1.84,1.94
