ticker,date,open,high,low,close
LUXE,2025-06-12,8.86,8.88,8.65,8.84
LUXE,2025-06-13,8.7076,8.7515,8.24,8.28
LUXE,2025-06-16,8.54,8.54,8.02,8.18
LUXE,2025-06-17,8.25,8.25,7.96,8.04
LUXE,2025-06-18,8.06,8.06,7.77,7.9
LUXE,2025-06-20,7.92,8.05,7.82,7.85
LUXE,2025-06-23,7.8155,7.9068,7.461,7.66
LUXE,2025-06-24,7.7,8.335,7.5,8.06
LUXE,2025-06-25,8.195,8.22,7.85,7.94
LUXE,2025-06-26,7.81,8.19,7.49,8.09
LUXE,2025-06-27,7.95,8.33,7.81,7.9
LUXE,2025-06-30,8.0,8.47,7.81,7.94
LUXE,2025-07-01,7.72,8.095,7.7,7.89
LUXE,2025-07-02,7.81,7.915,7.25,7.61
LUXE,2025-07-03,7.605,7.94,7.32,7.82
LUXE,2025-07-07,7.75,7.8,7.34,7.43
LUXE,2025-07-08,7.545,7.555,7.32,7.35
LUXE,2025-07-09,7.4543,8.095,7.29,7.98
LUXE,2025-07-10,7.96,8.2,7.87,7.98
LUXE,2025-07-11,7.83,8.0,7.63,7.82
LUXE,2025-07-14,7.7193,7.98,7.52,7.58
LUXE,2025-07-15,7.46,7.7328,7.24,7.44
LUXE,2025-07-16,7.59,7.88,7.445,7.81
LUXE,2025-07-17,7.775,7.99,7.61,7.75
LUXE,2025-07-18,7.795,7.795,7.46,7.57
LUXE,2025-07-21,7.76,7.93,7.06,7.59
LUXE,2025-07-22,7.63,7.845,7.55,7.76
LUXE,2025-07-23,7.855,8.48,7.855,8.38
LUXE,2025-07-24,8.5,8.66,8.16,8.19
LUXE,2025-07-25,7.9865,8.295,7.97,8.23
LUXE,2025-07-28,8.23,8.23,7.96,8.0
LUXE,2025-07-29,7.9536,8.0,7.78,7.82
LUXE,2025-07-30,7.96,7.995,7.61,7.69
LUXE,2025-07-31,7.7,8.0,7.45,7.69
LUXE,2025-08-01,7.725,7.7892,7.2605,7.6
LUXE,2025-08-04,7.7,8.05,7.3,8.04
LUXE,2025-08-05,7.91,8.2,7.72,8.11
LUXE,2025-08-06,8.085,8.44,8.0,8.34
LUXE,2025-08-07,8.2,8.36,7.77,7.94
LUXE,2025-08-08,7.855,8.2,7.71,8.04
LUXE,2025-08-11,8.0,8.15,7.72,7.84
LUXE,2025-08-12,7.865,8.1426,7.73,7.88
LUXE,2025-08-13,7.735,8.2,7.735,8.18
LUXE,2025-08-14,8.105,8.19,7.82,7.93
LUXE,2025-08-15,8.13,8.55,7.97,8.53
LUXE,2025-08-18,8.5,8.69,8.32,8.33
LUXE,2025-08-19,8.33,8.46,8.05,8.08
LUXE,2025-08-20,8.18,8.26,7.7,8.22
LUXE,2025-08-21,8.05,8.27,7.98,8.12
LUXE,2025-08-22,8.2,8.65,7.9501,8.44
