ticker,date,open,high,low,close
MIAX,2025-08-18,31.76,35.76,31.2,32.66
MIAX,2025-08-19,33.12,33.95,31.55,32.89
MIAX,2025-08-20,32.995,33.87,31.95,32.77
MIAX,2025-08-21,32.76,34.57,31.6001,34.34
MIAX,2025-08-22,34.63,34.89,32.72,33.52
MIAX,2025-08-25,33.22,34.0,32.315,33.29
MIAX,2025-08-26,33.28,33.94,32.195,33.9
MIAX,2025-08-27,33.635,35.8032,33.05,34.7
MIAX,2025-08-28,34.6042,36.65,34.4,35.49
MIAX,2025-08-29,35.75,38.44,35.14,37.58
MIAX,2025-09-02,37.66,38.25,35.4,36.33
MIAX,2025-09-03,36.4128,36.67,34.955,35.38
MIAX,2025-09-04,35.0084,35.9766,34.6368,35.5
MIAX,2025-09-05,35.91,36.0,34.02,34.95
MIAX,2025-09-08,35.1,37.77,34.65,37.77
MIAX,2025-09-09,38.1,39.13,36.88,37.3
MIAX,2025-09-10,37.64,38.0,36.77,36.81
MIAX,2025-09-11,36.98,37.66,36.495,37.39
MIAX,2025-09-12,37.83,37.96,36.1571,37.46
MIAX,2025-09-15,37.9557,38.43,36.75,37.26
MIAX,2025-09-16,37.26,38.85,37.012,38.02
MIAX,2025-09-17,38.44,39.56,37.5,38.14
MIAX,2025-09-18,38.1083,39.53,38.1083,38.86
MIAX,2025-09-19,39.1399,39.5,37.6,38.02
MIAX,2025-09-22,37.82,39.73,37.05,39.52
MIAX,2025-09-23,40.0,40.95,38.64,39.6
MIAX,2025-09-24,39.87,42.0681,39.54,41.65
MIAX,2025-09-25,41.825,42.16,40.82,41.95
MIAX,2025-09-26,42.0,42.89,41.16,41.23
MIAX,2025-09-29,41.6948,41.6948,39.89,40.77
MIAX,2025-09-30,40.68,41.3,39.7625,40.27
MIAX,2025-10-01,40.255,40.35,38.86,38.98
MIAX,2025-10-02,39.1582,41.48,39.02,41.03
MIAX,2025-10-03,41.095,42.7199,41.09,42.09
MIAX,2025-10-06,42.64,43.83,42.3176,43.71
MIAX,2025-10-07,43.81,44.51,43.2623,44.42
MIAX,2025-10-08,44.0,45.63,43.58,44.67
MIAX,2025-10-09,44.67,45.3126,42.64,42.94
MIAX,2025-10-10,43.32,44.52,42.71,43.54
MIAX,2025-10-13,44.1286,44.1599,42.25,43.11
MIAX,2025-10-14,43.57,44.43,42.73,43.56
MIAX,2025-10-15,43.73,43.735,41.86,43.33
MIAX,2025-10-16,42.965,43.21,42.07,42.26
MIAX,2025-10-17,42.085,42.81,41.31,41.93
MIAX,2025-10-20,42.44,43.41,41.505,43.05
MIAX,2025-10-21,42.96,43.379,40.44,41.47
MIAX,2025-10-22,41.3,42.14,39.7625,41.77
MIAX,2025-10-23,41.65,43.24,41.225,42.5
MIAX,2025-10-24,42.67,43.735,42.67,43.21
MIAX,2025-10-27,43.35,44.83,43.35,44.27
MIAX,2025-10-28,43.925,44.0289,42.17,43.16
MIAX,2025-10-29,42.7075,43.4,41.97,43.15
MIAX,2025-10-30,42.755,44.4499,42.755,43.75
MIAX,2025-10-31,43.93,44.205,42.89,43.7
MIAX,2025-11-03,44.09,45.74,43.555,45.54
MIAX,2025-11-04,45.065,45.89,44.33,44.33
MIAX,2025-11-05,44.41,46.04,44.01,45.83
MIAX,2025-11-06,47.51,48.2,45.335,47.02
MIAX,2025-11-07,46.68,49.27,46.5,48.7
MIAX,2025-11-10,49.0,49.97,47.79,48.94
MIAX,2025-11-11,49.0,50.38,48.32,49.48
MIAX,2025-11-12,49.98,51.375,49.1822,50.96
MIAX,2025-11-13,50.01,51.23,48.17,48.63
MIAX,2025-11-14,48.0,49.76,47.51,48.53
MIAX,2025-11-17,49.24,49.24,46.4301,46.81
MIAX,2025-11-18,46.77,46.84,45.4,46.7
MIAX,2025-11-19,46.755,47.005,44.08,44.36
MIAX,2025-11-20,45.15,45.671,42.31,42.55
MIAX,2025-11-21,42.75,44.24,41.62,44.08
MIAX,2025-11-24,45.26,45.26,43.18,44.73
MIAX,2025-11-25,44.27,45.335,43.59,44.07
MIAX,2025-11-26,43.81,46.845,43.53,45.86
MIAX,2025-11-28,45.56,46.6,45.46,45.61
MIAX,2025-12-01,45.155,45.555,44.23,44.5
MIAX,2025-12-02,44.9999,46.53,44.6,45.39
MIAX,2025-12-03,45.49,46.44,44.28,44.73
MIAX,2025-12-04,44.94,46.02,44.69,45.46
MIAX,2025-12-05,45.265,45.545,43.66,44.06
MIAX,2025-12-08,44.06,45.63,43.45,45.56
MIAX,2025-12-09,45.28,46.56,45.28,45.8
MIAX,2025-12-10,43.08,43.8,42.44,42.62
MIAX,2025-12-11,42.6,42.975,41.27,41.78
MIAX,2025-12-12,42.21,43.05,41.3,42.68
MIAX,2025-12-15,42.68,43.01,42.04,42.58
MIAX,2025-12-16,42.0,43.51,41.95,43.36
MIAX,2025-12-17,42.96,44.84,42.96,43.79
MIAX,2025-12-18,44.335,45.18,43.4,44.25
MIAX,2025-12-19,44.265,45.78,43.96,44.62
