ticker,date,open,high,low,close
MODG,1992-02-28,4.5,4.5,3.5,4.05
MODG,1992-03-02,4.03,4.03,3.67,3.67
MODG,1992-03-03,3.64,3.66,3.5,3.61
MODG,1992-03-04,3.61,3.77,3.61,3.72
MODG,1992-03-05,3.73,3.73,3.5,3.52
MODG,1992-03-06,3.56,3.62,3.52,3.59
MODG,1992-03-09,3.62,3.66,3.56,3.62
MODG,1992-03-10,3.62,3.83,3.59,3.77
MODG,1992-03-11,3.77,3.8,3.7,3.72
MODG,1992-03-12,3.72,3.8,3.72,3.77
MODG,1992-03-13,3.78,3.86,3.67,3.7
MODG,1992-03-16,3.72,3.72,3.59,3.61
MODG,1992-03-17,3.62,3.64,3.58,3.58
MODG,1992-03-18,3.58,3.59,3.55,3.58
MODG,1992-03-19,3.59,3.59,3.52,3.53
MODG,1992-03-20,3.55,3.55,3.42,3.42
MODG,1992-03-23,3.36,3.36,3.14,3.22
MODG,1992-03-24,3.23,3.25,3.19,3.19
MODG,1992-03-25,3.2,3.25,3.17,3.2
MODG,1992-03-26,3.2,3.2,3.14,3.16
MODG,1992-03-27,3.17,3.17,3.05,3.06
MODG,1992-03-30,3.03,3.09,2.94,3.09
MODG,1992-03-31,3.08,3.17,3.06,3.14
MODG,1992-04-01,3.16,3.36,3.11,3.34
MODG,1992-04-02,3.36,3.41,3.23,3.23
MODG,1992-04-03,3.25,3.31,3.22,3.27
MODG,1992-04-06,3.33,3.5,3.33,3.48
MODG,1992-04-07,3.53,3.58,3.42,3.44
MODG,1992-04-08,3.39,3.42,3.25,3.31
MODG,1992-04-09,3.33,3.41,3.31,3.38
MODG,1992-04-10,3.41,3.52,3.41,3.45
MODG,1992-04-13,3.44,3.5,3.44,3.47
MODG,1992-04-14,3.47,3.64,3.45,3.59
MODG,1992-04-15,3.59,3.61,3.52,3.53
MODG,1992-04-16,3.53,3.53,3.39,3.42
MODG,1992-04-20,3.36,3.38,3.22,3.31
MODG,1992-04-21,3.3,3.3,3.23,3.25
MODG,1992-04-22,3.25,3.25,3.19,3.22
