ticker,date,open,high,low,close
NP,2025-10-01,22.46,25.45,22.3,24.8
NP,2025-10-02,24.235,28.7,24.18,28.45
NP,2025-10-03,28.19,33.2346,27.71,30.4
NP,2025-10-06,30.75,31.75,29.2,29.99
NP,2025-10-07,30.235,30.76,26.7208,27.38
NP,2025-10-08,26.19,27.8,26.19,27.1
NP,2025-10-09,26.68,27.61,26.0,27.44
NP,2025-10-10,27.42,27.85,26.28,26.48
NP,2025-10-13,25.9,28.9,25.9,28.37
NP,2025-10-14,28.1853,28.34,27.04,27.34
NP,2025-10-15,27.1159,27.7,25.265,26.39
NP,2025-10-16,25.94,26.3442,24.43,25.34
NP,2025-10-17,25.25,26.0,24.67,25.13
NP,2025-10-20,25.0,25.51,24.25,25.0
NP,2025-10-21,25.245,25.763,25.02,25.49
NP,2025-10-22,25.455,25.455,24.5,24.8
NP,2025-10-23,24.875,26.0,24.62,25.09
NP,2025-10-24,25.39,26.97,25.39,26.37
NP,2025-10-27,26.35,26.76,25.0,25.5
NP,2025-10-28,25.91,26.48,25.2,25.69
NP,2025-10-29,25.67,26.31,25.09,25.27
NP,2025-10-30,25.36,26.875,25.29,26.26
NP,2025-10-31,26.7,27.265,25.655,25.68
NP,2025-11-03,25.77,26.72,24.83,25.26
NP,2025-11-04,25.33,25.42,24.5,25.42
NP,2025-11-05,25.3,25.99,25.123,25.61
NP,2025-11-06,25.725,25.88,24.8495,25.29
NP,2025-11-07,25.115,27.0,25.115,26.86
NP,2025-11-10,27.0,27.0,26.13,26.66
NP,2025-11-11,25.73,27.15,25.47,25.63
NP,2025-11-12,25.95,26.42,24.82,25.16
NP,2025-11-13,25.0001,26.07,22.5025,24.87
NP,2025-11-14,24.76,25.1,24.115,24.73
NP,2025-11-17,24.655,25.27,23.54,23.81
NP,2025-11-18,23.777,23.88,22.78,23.0
NP,2025-11-19,23.2001,23.775,22.0,23.21
NP,2025-11-20,23.75,23.84,22.36,23.09
NP,2025-11-21,22.84,23.74,22.26,23.37
NP,2025-11-24,23.17,23.5,22.47,23.17
NP,2025-11-25,23.465,24.8,23.04,24.53
NP,2025-11-26,24.44,25.35,23.97,24.99
NP,2025-11-28,25.49,25.49,23.12,23.32
NP,2025-12-01,23.57,24.25,23.02,23.89
NP,2025-12-02,23.865,24.06,22.88,23.44
NP,2025-12-03,23.21,24.11,22.39,23.74
NP,2025-12-04,23.99,25.0112,23.84,24.97
NP,2025-12-05,25.2375,26.15,24.425,24.71
NP,2025-12-08,24.97,25.34,23.89,24.31
NP,2025-12-09,24.65,27.27,23.8,26.7
NP,2025-12-10,26.6225,27.5,26.34,27.05
NP,2025-12-11,26.975,29.0228,26.34,27.46
NP,2025-12-12,27.76,29.37,27.43,27.73
NP,2025-12-15,28.0,28.4,26.91,27.5
NP,2025-12-16,27.14,28.6,26.5204,28.38
NP,2025-12-17,28.58,29.5,28.31,29.0
NP,2025-12-18,29.35,30.19,28.59,29.31
NP,2025-12-19,29.5,30.0,28.105,28.17
