ticker,date,open,high,low,close
PXED,2025-10-13,36.38,37.55,35.0,37.23
PXED,2025-10-14,36.1167,37.73,36.05,36.06
PXED,2025-10-15,36.81,37.005,35.55,36.24
PXED,2025-10-16,36.45,36.65,35.6495,35.7
PXED,2025-10-17,35.32,36.46,34.51,36.25
PXED,2025-10-20,36.58,38.1499,36.21,37.21
PXED,2025-10-21,36.09,37.035,36.0,36.26
PXED,2025-10-22,36.0,37.17,35.605,37.01
PXED,2025-10-23,37.0,37.7,37.0,37.66
PXED,2025-10-24,37.01,38.19,37.01,37.63
PXED,2025-10-27,37.02,37.96,36.22,36.89
PXED,2025-10-28,36.61,37.6,36.61,37.28
PXED,2025-10-29,37.5,37.66,36.4,37.01
PXED,2025-10-30,37.035,37.56,36.05,36.41
PXED,2025-10-31,36.505,37.47,35.81,36.95
PXED,2025-11-03,37.0,37.0,35.2,36.0
PXED,2025-11-04,36.39,36.4,34.82,34.85
PXED,2025-11-05,35.07,35.52,33.0,33.71
PXED,2025-11-06,34.1,34.6825,32.38,33.1
PXED,2025-11-07,33.02,34.245,32.1,32.29
PXED,2025-11-10,32.97,33.5,32.16,32.96
PXED,2025-11-11,32.85,33.0,30.1,30.75
PXED,2025-11-12,31.45,31.45,29.5692,29.74
PXED,2025-11-13,29.98,30.39,26.735,27.32
PXED,2025-11-14,27.62,28.64,27.01,28.6
PXED,2025-11-17,28.94,29.17,28.22,28.71
PXED,2025-11-18,28.71,30.97,28.51,30.1
PXED,2025-11-19,29.85,30.68,29.155,30.02
PXED,2025-11-20,29.51,31.7939,29.26,30.37
PXED,2025-11-21,28.01,32.98,23.52,31.23
PXED,2025-11-24,30.995,31.96,26.85,28.93
PXED,2025-11-25,30.88,31.125,29.45,29.82
PXED,2025-11-26,30.1,31.83,30.04,30.96
PXED,2025-11-28,30.98,34.31,30.96,33.71
PXED,2025-12-01,29.75,34.24,29.75,33.77
PXED,2025-12-02,33.255,35.9,33.14,35.25
PXED,2025-12-03,35.2,35.585,34.23,34.23
PXED,2025-12-04,33.93,35.1381,33.93,34.27
PXED,2025-12-05,34.105,35.33,33.13,33.61
PXED,2025-12-08,33.61,34.44,30.72,32.1
PXED,2025-12-09,31.75,33.56,31.75,33.07
PXED,2025-12-10,32.125,35.245,32.125,34.49
PXED,2025-12-11,33.83,35.31,31.195,32.95
PXED,2025-12-12,32.82,33.65,32.08,32.54
PXED,2025-12-15,32.13,33.245,31.725,31.98
PXED,2025-12-16,30.34,34.0,30.34,33.98
PXED,2025-12-17,33.9,35.14,33.24,33.61
PXED,2025-12-18,33.97,34.45,33.4001,33.5
PXED,2025-12-19,33.74,34.345,32.35,33.0
