ticker,date,open,high,low,close
RBOT,2020-09-04,9.8,9.8,9.74,9.75
RBOT,2020-09-08,9.76,9.76,9.75,9.75
RBOT,2020-09-09,9.8,9.8,9.8,9.8
RBOT,2020-09-10,9.82,9.82,9.77,9.8
RBOT,2020-09-11,9.8,9.81,9.75,9.77
RBOT,2020-09-14,9.77,9.8,9.73,9.8
RBOT,2020-09-15,9.8,9.8,9.755,9.755
RBOT,2020-09-16,9.76,9.78,9.72,9.76
RBOT,2020-09-17,9.76,9.83,9.75,9.83
RBOT,2020-09-18,9.92,9.92,9.76,9.84
RBOT,2020-09-21,9.8,9.8389,9.779,9.779
RBOT,2020-09-22,9.9,9.9,9.8,9.84
RBOT,2020-09-23,9.9,9.9,9.76,9.83
RBOT,2020-09-24,9.9,9.9,9.77,9.81
RBOT,2020-09-25,9.84,9.85,9.81,9.81
RBOT,2020-09-28,9.94,9.94,9.76,9.78
RBOT,2020-09-29,9.79,9.8,9.77,9.8
RBOT,2020-09-30,9.77,9.78,9.75,9.77
RBOT,2020-10-01,9.89,9.89,9.75,9.78
RBOT,2020-10-02,9.72,9.9,9.72,9.9
RBOT,2020-10-05,9.72,9.85,9.72,9.74
RBOT,2020-10-06,9.74,9.75,9.73,9.75
RBOT,2020-10-07,9.73,9.75,9.73,9.73
RBOT,2020-10-08,9.75,9.81,9.7,9.7
RBOT,2020-10-09,9.7,9.78,9.65,9.65
RBOT,2020-10-12,9.67,9.74,9.67,9.7
RBOT,2020-10-13,9.7,9.7,9.69,9.69
RBOT,2020-10-14,9.73,9.73,9.69,9.69
RBOT,2020-10-15,9.7,9.7,9.6827,9.69
RBOT,2020-10-16,9.69,9.7,9.69,9.7
RBOT,2020-10-19,9.7,9.7,9.6962,9.7
RBOT,2020-10-20,9.69,9.7,9.69,9.7
RBOT,2020-10-21,9.69,9.69,9.67,9.67
RBOT,2020-10-22,9.65,9.7,9.65,9.7
RBOT,2020-10-23,9.67,9.7,9.67,9.7
RBOT,2020-10-26,9.68,9.68,9.65,9.65
RBOT,2020-10-27,9.63,9.69,9.6,9.69
RBOT,2020-10-28,9.67,9.67,9.635,9.67
RBOT,2020-10-29,9.62,9.67,9.6,9.67
RBOT,2020-10-30,9.62,9.66,9.6,9.66
RBOT,2020-11-02,9.66,9.66,9.61,9.66
RBOT,2020-11-03,9.61,9.65,9.6,9.65
RBOT,2020-11-04,9.65,9.65,9.65,9.65
RBOT,2020-11-05,9.62,9.65,9.62,9.65
RBOT,2020-11-06,9.64,9.65,9.64,9.65
RBOT,2020-11-09,9.88,9.88,9.65,9.65
RBOT,2020-11-10,9.66,9.68,9.66,9.67
RBOT,2020-11-11,9.66,9.68,9.65,9.65
RBOT,2020-11-12,9.66,9.69,9.65,9.68
RBOT,2020-11-13,9.66,9.69,9.66,9.69
RBOT,2020-11-16,9.69,9.69,9.68,9.69
RBOT,2020-11-17,9.68,9.69,9.68,9.69
RBOT,2020-11-18,9.69,9.69,9.68,9.68
RBOT,2020-11-19,9.68,9.7,9.65,9.7
RBOT,2020-11-20,9.77,9.77,9.69,9.72
RBOT,2020-11-23,9.7,9.7,9.7,9.7
RBOT,2020-11-24,9.75,9.75,9.7,9.73
RBOT,2020-11-25,9.73,9.74,9.69,9.74
RBOT,2020-11-27,9.79,9.8,9.7,9.8
RBOT,2020-11-30,9.76,9.82,9.75,9.82
RBOT,2020-12-01,9.82,9.82,9.76,9.77
RBOT,2020-12-02,9.775,9.78,9.75,9.78
RBOT,2020-12-03,9.75,9.78,9.75,9.78
RBOT,2020-12-04,9.77,9.82,9.76,9.81
RBOT,2020-12-07,9.7858,9.88,9.76,9.83
RBOT,2020-12-08,9.8299,9.89,9.76,9.8
RBOT,2020-12-09,9.8444,9.95,9.83,9.85
RBOT,2020-12-10,9.85,9.91,9.85,9.86
RBOT,2020-12-11,9.85,10.1,9.85,9.92
RBOT,2020-12-14,9.93,10.0,9.93,9.93
RBOT,2020-12-15,9.945,9.99,9.92,9.94
RBOT,2020-12-16,9.9471,9.99,9.94,9.96
RBOT,2020-12-17,9.98,10.0,9.91,10.0
RBOT,2020-12-18,9.97,10.08,9.97,10.02
RBOT,2020-12-21,10.05,10.08,10.0,10.05
RBOT,2020-12-22,10.1,10.12,10.01,10.12
RBOT,2020-12-23,10.2,10.2,10.112,10.14
RBOT,2020-12-24,10.1,10.12,10.0932,10.1
RBOT,2020-12-28,10.14,10.17,10.1,10.14
RBOT,2020-12-29,10.12,10.18,10.03,10.11
RBOT,2020-12-30,10.1,10.13,10.08,10.1
RBOT,2020-12-31,10.09,10.17,10.08,10.16
RBOT,2021-01-04,10.14,10.17,10.01,10.09
RBOT,2021-01-05,10.12,10.15,10.06,10.12
RBOT,2021-01-06,10.02,10.1,10.02,10.05
RBOT,2021-01-07,10.09,10.15,10.09,10.11
RBOT,2021-01-08,10.1201,10.19,10.1,10.19
RBOT,2021-01-11,10.2,10.2,10.1,10.17
RBOT,2021-01-12,10.2,10.44,10.1,10.28
RBOT,2021-01-13,10.26,10.35,10.07,10.31
RBOT,2021-01-14,10.24,10.38,10.17,10.37
RBOT,2021-01-15,10.37,10.37,10.16,10.23
RBOT,2021-01-19,10.31,10.37,10.2203,10.25
RBOT,2021-01-20,10.27,10.37,10.22,10.31
RBOT,2021-01-21,10.27,10.37,10.23,10.32
RBOT,2021-01-22,10.32,10.37,10.14,10.23
RBOT,2021-01-25,10.34,10.42,10.21,10.35
RBOT,2021-01-26,10.33,10.35,10.15,10.29
RBOT,2021-01-27,10.25,10.29,10.05,10.25
RBOT,2021-01-28,10.25,10.29,10.07,10.18
RBOT,2021-01-29,10.15,10.25,10.15,10.16
RBOT,2021-02-01,10.18,10.35,10.18,10.27
RBOT,2021-02-02,10.31,10.4,10.22,10.38
RBOT,2021-02-03,10.4,10.51,10.33,10.38
RBOT,2021-02-04,10.46,10.5,10.38,10.42
RBOT,2021-02-05,10.38,10.49,10.32,10.42
RBOT,2021-02-08,10.4,10.46,10.28,10.3
RBOT,2021-02-09,10.29,10.51,10.29,10.5
RBOT,2021-02-10,10.5,10.5,10.25,10.44
RBOT,2021-02-11,10.48,10.5,10.35,10.5
RBOT,2021-02-12,10.47,10.49,10.35,10.49
RBOT,2021-02-16,10.45,10.5195,10.42,10.45
RBOT,2021-02-17,10.44,10.5,10.37,10.45
RBOT,2021-02-18,10.42,10.4515,10.35,10.43
RBOT,2021-02-19,10.49,10.53,10.4,10.53
RBOT,2021-02-22,10.59,10.59,10.36,10.49
RBOT,2021-02-23,10.39,10.47,10.33,10.45
RBOT,2021-02-24,10.34,10.5,10.33,10.45
RBOT,2021-02-25,10.4501,10.49,10.25,10.25
RBOT,2021-02-26,10.25,10.3,10.25,10.25
RBOT,2021-03-01,10.33,10.43,10.15,10.17
RBOT,2021-03-02,10.18,10.25,10.02,10.08
RBOT,2021-03-03,10.07,10.17,9.87,9.93
RBOT,2021-03-04,9.96,10.02,9.89,9.94
RBOT,2021-03-05,9.98,10.09,9.95,10.04
RBOT,2021-03-08,10.05,10.18,10.03,10.1
RBOT,2021-03-09,10.1,10.1,10.07,10.08
RBOT,2021-03-10,10.08,10.19,9.96,10.19
RBOT,2021-03-11,10.2,10.21,10.03,10.06
RBOT,2021-03-12,10.04,10.06,10.0,10.04
RBOT,2021-03-15,10.04,10.05,10.0,10.04
RBOT,2021-03-16,10.03,10.07,10.02,10.05
RBOT,2021-03-17,10.05,10.05,9.95,9.96
RBOT,2021-03-18,9.98,10.01,9.96,10.0
RBOT,2021-03-19,9.96,10.0,9.9,9.99
RBOT,2021-03-22,9.99,9.99,9.93,9.95
RBOT,2021-03-23,9.95,9.97,9.9,9.92
RBOT,2021-03-24,9.9218,9.93,9.7,9.74
RBOT,2021-03-25,9.84,9.89,9.75,9.81
RBOT,2021-03-26,9.9,10.09,9.8386,10.02
RBOT,2021-03-29,10.05,10.05,9.95,10.0
RBOT,2021-03-30,9.98,10.0,9.9,9.93
RBOT,2021-03-31,9.9,9.95,9.88,9.94
RBOT,2021-04-01,9.95,9.95,9.88,9.91
RBOT,2021-04-05,9.93,9.9599,9.915,9.95
RBOT,2021-04-06,9.9,9.94,9.9,9.935
RBOT,2021-04-07,9.92,9.99,9.92,9.93
RBOT,2021-04-08,9.96,9.98,9.91,9.94
RBOT,2021-04-09,9.95,9.98,9.9105,9.98
RBOT,2021-04-12,9.98,9.98,9.94,9.95
RBOT,2021-04-13,9.95,10.01,9.94,10.0
RBOT,2021-04-14,10.0,10.0,9.96,9.98
RBOT,2021-04-15,10.47,10.6,10.01,10.07
RBOT,2021-04-16,10.08,10.085,9.965,9.99
RBOT,2021-04-19,10.0,10.01,9.94,9.96
RBOT,2021-04-20,9.99,9.99,9.89,9.93
RBOT,2021-04-21,9.94,9.96,9.91,9.93
RBOT,2021-04-22,9.94,9.95,9.91,9.92
RBOT,2021-04-23,9.93,9.9484,9.9,9.92
RBOT,2021-04-26,9.94,9.96,9.9,9.92
RBOT,2021-04-27,9.94,9.95,9.9,9.91
RBOT,2021-04-28,9.91,9.94,9.9,9.92
RBOT,2021-04-29,9.92,9.93,9.8901,9.91
RBOT,2021-04-30,9.91,9.95,9.905,9.93
RBOT,2021-05-03,9.92,9.93,9.905,9.92
RBOT,2021-05-04,9.92,9.92,9.88,9.92
RBOT,2021-05-05,9.92,9.92,9.9,9.92
RBOT,2021-05-06,9.92,9.94,9.905,9.92
RBOT,2021-05-07,9.9,9.94,9.9,9.93
RBOT,2021-05-10,9.91,9.96,9.85,9.95
RBOT,2021-05-11,9.92,9.94,9.9,9.92
RBOT,2021-05-12,9.9,9.91,9.83,9.88
RBOT,2021-05-13,9.87,9.93,9.87,9.93
RBOT,2021-05-14,9.94,9.95,9.86,9.89
RBOT,2021-05-17,9.88,9.91,9.88,9.91
RBOT,2021-05-18,9.88,9.9,9.87,9.9
RBOT,2021-05-19,9.9,9.91,9.8896,9.91
RBOT,2021-05-20,9.9,9.92,9.89,9.9
RBOT,2021-05-21,9.9,9.92,9.89,9.9
RBOT,2021-05-24,9.91,9.91,9.9,9.9
RBOT,2021-05-25,9.92,9.93,9.9,9.92
RBOT,2021-05-26,9.91,9.91,9.88,9.89
RBOT,2021-05-27,9.91,9.91,9.89,9.89
RBOT,2021-05-28,9.9,9.91,9.88,9.89
RBOT,2021-06-01,9.92,9.92,9.85,9.89
RBOT,2021-06-02,9.89,9.91,9.88,9.9
RBOT,2021-06-03,9.9,9.9,9.88,9.9
RBOT,2021-06-04,9.9,9.91,9.89,9.9
RBOT,2021-06-07,9.91,9.91,9.89,9.9
RBOT,2021-06-08,9.91,9.91,9.88,9.9
RBOT,2021-06-09,9.9,9.91,9.89,9.9
RBOT,2021-06-10,9.89,9.9,9.89,9.9
RBOT,2021-06-11,9.89,9.91,9.89,9.9
RBOT,2021-06-14,9.9,9.905,9.89,9.9
RBOT,2021-06-15,9.89,9.91,9.89,9.91
RBOT,2021-06-16,9.9,9.91,9.89,9.91
RBOT,2021-06-17,9.9,9.91,9.89,9.9
RBOT,2021-06-18,9.9,9.9004,9.89,9.9
RBOT,2021-06-21,9.9,9.9,9.89,9.9
RBOT,2021-06-22,9.98,10.0,9.94,9.98
RBOT,2021-06-23,10.0,10.0,9.97,9.99
RBOT,2021-06-24,10.01,10.01,9.97,9.98
RBOT,2021-06-25,10.0,10.01,9.98,9.99
RBOT,2021-06-28,10.04,10.05,9.96,9.975
RBOT,2021-06-29,10.05,10.06,9.94,9.99
