ticker,date,open,high,low,close
SLAI,2025-10-20,2.7034,2.8,2.68,2.7
SLAI,2025-10-21,2.64,2.7,2.42,2.44
SLAI,2025-10-22,2.13,2.13,2.13,2.13
SLAI,2025-10-23,2.13,2.23,2.12,2.17
SLAI,2025-10-24,2.23,2.35,2.23,2.33
SLAI,2025-10-27,2.41,2.53,2.35,2.38
SLAI,2025-10-28,2.4627,2.55,2.38,2.39
SLAI,2025-10-29,2.4,2.46,2.27,2.27
SLAI,2025-10-30,2.25,2.3192,2.17,2.17
SLAI,2025-10-31,2.2211,2.24,2.175,2.21
SLAI,2025-11-03,2.21,2.2599,2.11,2.14
SLAI,2025-11-04,2.08,2.1,1.91,1.95
SLAI,2025-11-05,2.065,2.07,1.99,2.03
SLAI,2025-11-06,2.07,2.08,1.9,1.9
SLAI,2025-11-07,1.86,1.94,1.8,1.93
SLAI,2025-11-10,1.97,2.0,1.91,1.92
SLAI,2025-11-11,1.96,1.96,1.8,1.81
SLAI,2025-11-12,1.8319,1.9088,1.71,1.76
SLAI,2025-11-13,1.66,1.74,1.57,1.57
SLAI,2025-11-14,1.5,1.59,1.44,1.53
SLAI,2025-11-17,1.53,1.58,1.43,1.45
SLAI,2025-11-18,1.4,1.56,1.39,1.5
SLAI,2025-11-19,1.46,1.5483,1.38,1.39
SLAI,2025-11-20,1.5,1.55,1.315,1.36
SLAI,2025-11-21,1.29,1.4,1.28,1.36
SLAI,2025-11-24,1.3499,1.46,1.3499,1.42
SLAI,2025-11-25,1.36,1.46,1.36,1.39
SLAI,2025-11-26,1.38,1.48,1.3618,1.46
SLAI,2025-11-28,1.49,1.55,1.46,1.48
SLAI,2025-12-01,1.48,1.48,1.37,1.38
SLAI,2025-12-02,1.47,1.48,1.38,1.4
SLAI,2025-12-03,1.4,1.55,1.4,1.51
SLAI,2025-12-04,1.5,1.55,1.49,1.52
SLAI,2025-12-05,1.5,1.52,1.42,1.42
SLAI,2025-12-08,1.448,1.4701,1.41,1.41
SLAI,2025-12-09,1.42,1.52,1.42,1.46
SLAI,2025-12-10,1.465,1.55,1.46,1.49
SLAI,2025-12-11,1.535,1.55,1.44,1.44
SLAI,2025-12-12,1.49,1.4965,1.31,1.31
SLAI,2025-12-15,1.3325,1.3325,1.2,1.2
SLAI,2025-12-16,1.23,1.27,1.1,1.12
SLAI,2025-12-17,1.18,1.1825,1.02,1.07
SLAI,2025-12-18,1.13,1.16,1.03,1.05
SLAI,2025-12-19,1.07,1.1,1.0543,1.06
