ticker,date,open,high,low,close
TDAY,2025-11-18,4.6,4.745,4.53,4.6
TDAY,2025-11-19,4.47,4.57,4.37,4.42
TDAY,2025-11-20,4.46,4.5,4.355,4.41
TDAY,2025-11-21,4.4,4.615,4.33,4.59
TDAY,2025-11-24,4.64,4.785,4.54,4.72
TDAY,2025-11-25,4.76,5.035,4.735,4.96
TDAY,2025-11-26,4.96,5.145,4.93,5.02
TDAY,2025-11-28,5.05,5.08,4.96,5.01
TDAY,2025-12-01,4.97,5.005,4.9,4.97
TDAY,2025-12-02,5.025,5.06,4.92,4.95
TDAY,2025-12-03,4.925,5.085,4.9,5.07
TDAY,2025-12-04,5.09,5.205,5.06,5.06
TDAY,2025-12-05,5.15,5.69,5.0501,5.51
TDAY,2025-12-08,5.37,5.55,5.2,5.21
TDAY,2025-12-09,5.18,5.35,5.1617,5.34
TDAY,2025-12-10,5.42,5.8,5.32,5.59
TDAY,2025-12-11,5.61,5.73,5.59,5.65
TDAY,2025-12-12,5.66,5.67,5.435,5.49
TDAY,2025-12-15,5.5899,5.59,5.39,5.55
TDAY,2025-12-16,5.43,5.595,5.2901,5.5
TDAY,2025-12-17,5.47,5.55,5.43,5.52
TDAY,2025-12-18,5.52,5.695,5.51,5.62
TDAY,2025-12-19,5.57,5.645,5.485,5.49
