ticker,date,open,high,low,close
TE,2025-03-18,1.665,1.67,1.62,1.65
TE,2025-03-19,1.63,1.74,1.62,1.67
TE,2025-03-20,1.65,1.68,1.501,1.57
TE,2025-03-21,1.55,1.55,1.455,1.49
TE,2025-03-24,1.53,1.6,1.525,1.55
TE,2025-03-25,1.535,1.54,1.45,1.46
TE,2025-03-26,1.4,1.4,1.38,1.4
TE,2025-03-27,1.36,1.43,1.36,1.42
TE,2025-03-28,1.395,1.395,1.28,1.3
TE,2025-03-31,1.3,1.3,1.24,1.26
TE,2025-04-01,1.25,1.27,1.2,1.22
TE,2025-04-02,1.2,1.23,1.15,1.18
TE,2025-04-03,1.125,1.14,1.06,1.1
TE,2025-04-04,1.1,1.1,0.9817,1.03
TE,2025-04-07,1.0,1.07,0.95,1.04
TE,2025-04-08,1.13,1.13,1.0101,1.04
TE,2025-04-09,1.035,1.22,1.01,1.18
TE,2025-04-10,1.1,1.1,1.05,1.1
TE,2025-04-11,1.08,1.15,1.04,1.15
TE,2025-04-14,1.16,1.16,1.0901,1.11
TE,2025-04-15,1.11,1.11,1.08,1.09
TE,2025-04-16,1.0873,1.09,1.03,1.07
TE,2025-04-17,1.08,1.08,1.04,1.05
TE,2025-04-21,1.06,1.06,1.02,1.03
TE,2025-04-22,1.06,1.165,1.06,1.14
TE,2025-04-23,1.18,1.21,1.1,1.13
TE,2025-04-24,1.1216,1.24,1.1216,1.23
TE,2025-04-25,1.21,1.275,1.18,1.26
TE,2025-04-28,1.275,1.3,1.18,1.23
TE,2025-04-29,1.225,1.26,1.2238,1.24
TE,2025-04-30,1.18,1.22,1.16,1.21
TE,2025-05-01,1.24,1.3,1.2204,1.28
TE,2025-05-02,1.2992,1.38,1.29,1.33
TE,2025-05-05,1.33,1.3388,1.27,1.28
TE,2025-05-06,1.25,1.2795,1.21,1.25
TE,2025-05-07,1.22,1.32,1.22,1.29
TE,2025-05-08,1.3247,1.37,1.3,1.36
TE,2025-05-09,1.375,1.43,1.36,1.39
TE,2025-05-12,1.455,1.5,1.41,1.46
TE,2025-05-13,1.5,1.5795,1.48,1.52
TE,2025-05-14,1.54,1.6093,1.4901,1.55
TE,2025-05-15,1.28,1.37,0.93,1.275
TE,2025-05-16,1.26,1.26,1.1601,1.18
TE,2025-05-19,1.13,1.17,1.04,1.12
TE,2025-05-20,1.1201,1.175,1.09,1.09
TE,2025-05-21,1.1,1.1,1.005,1.02
TE,2025-05-22,1.0001,1.01,0.96,0.9701
TE,2025-05-23,0.9732,1.09,0.9729,1.05
TE,2025-05-27,1.0596,1.1455,1.04,1.14
TE,2025-05-28,1.14,1.19,1.07,1.18
TE,2025-05-29,1.17,1.22,1.08,1.12
TE,2025-05-30,1.095,1.125,1.07,1.09
TE,2025-06-02,1.1,1.1,1.03,1.05
TE,2025-06-03,1.06,1.16,1.04,1.14
TE,2025-06-04,1.1,1.158,1.1,1.13
TE,2025-06-05,1.13,1.14,1.06,1.07
TE,2025-06-06,1.097,1.21,1.09,1.2
TE,2025-06-09,1.23,1.37,1.225,1.32
TE,2025-06-10,1.37,1.39,1.29,1.38
TE,2025-06-11,1.365,1.445,1.3315,1.42
TE,2025-06-12,1.37,1.435,1.35,1.39
TE,2025-06-13,1.3625,1.4,1.32,1.33
TE,2025-06-16,1.445,1.5499,1.41,1.51
TE,2025-06-17,1.36,1.38,1.26,1.29
TE,2025-06-18,1.28,1.475,1.26,1.47
TE,2025-06-20,1.455,1.455,1.33,1.36
TE,2025-06-23,1.3595,1.38,1.27,1.32
TE,2025-06-24,1.3246,1.39,1.27,1.37
TE,2025-06-25,1.375,1.375,1.26,1.27
TE,2025-06-26,1.29,1.3293,1.23,1.3
TE,2025-06-27,1.32,1.32,1.23,1.25
TE,2025-06-30,1.25,1.26,1.1701,1.23
TE,2025-07-01,1.21,1.27,1.16,1.25
TE,2025-07-02,1.25,1.455,1.25,1.41
TE,2025-07-03,1.38,1.47,1.35,1.44
TE,2025-07-07,1.4205,1.44,1.36,1.4
TE,2025-07-08,1.41,1.5,1.3905,1.5
TE,2025-07-09,1.47,1.485,1.44,1.48
TE,2025-07-10,1.45,1.46,1.38,1.42
TE,2025-07-11,1.38,1.38,1.38,1.38
TE,2025-07-14,1.35,1.415,1.3,1.4
TE,2025-07-15,1.37,1.41,1.34,1.36
TE,2025-07-16,1.365,1.4,1.33,1.39
TE,2025-07-17,1.39,1.518,1.36,1.5
TE,2025-07-18,1.515,1.54,1.47,1.48
TE,2025-07-21,1.51,1.68,1.5,1.53
TE,2025-07-22,1.54,1.59,1.5,1.57
TE,2025-07-23,1.57,1.66,1.545,1.57
TE,2025-07-24,1.55,1.58,1.48,1.48
TE,2025-07-25,1.5,1.5,1.41,1.42
TE,2025-07-28,1.42,1.4295,1.37,1.4
TE,2025-07-29,1.4,1.415,1.33,1.34
TE,2025-07-30,1.35,1.3565,1.28,1.29
TE,2025-07-31,1.28,1.325,1.18,1.185
TE,2025-08-01,1.18,1.215,1.15,1.17
TE,2025-08-04,1.16,1.28,1.16,1.24
TE,2025-08-05,1.23,1.265,1.21,1.25
TE,2025-08-06,1.2499,1.33,1.2304,1.25
TE,2025-08-07,1.29,1.33,1.25,1.27
TE,2025-08-08,1.28,1.35,1.27,1.28
