ticker,date,open,high,low,close
TEF,1987-06-12,2.0061,2.0859,1.9605,2.0517
TEF,1987-06-15,2.1086,2.12,2.0517,2.0631
TEF,1987-06-16,2.0631,2.0631,1.9719,1.9833
TEF,1987-06-17,2.0061,2.0061,1.9719,1.9947
TEF,1987-06-18,1.9947,2.0859,1.9947,2.0859
TEF,1987-06-19,2.0745,2.2226,2.0517,2.177
TEF,1987-06-22,2.1884,2.2568,2.1884,2.2568
TEF,1987-06-23,2.2454,2.2454,2.1884,2.2226
TEF,1987-06-24,2.1086,2.1656,2.1086,2.1086
TEF,1987-06-25,2.1428,2.2226,2.1428,2.1998
TEF,1987-06-26,2.2112,2.2226,2.177,2.1884
TEF,1987-06-29,2.1884,2.1884,2.1428,2.1884
TEF,1987-06-30,2.1656,2.1656,2.1314,2.1428
TEF,1987-07-01,2.1656,2.1656,2.0745,2.0859
TEF,1987-07-02,2.0745,2.1086,2.0631,2.0745
TEF,1987-07-06,2.0973,2.1314,2.0973,2.12
TEF,1987-07-07,2.12,2.177,2.12,2.1542
TEF,1987-07-08,2.1656,2.2226,2.0973,2.2112
TEF,1987-07-09,2.2226,2.291,2.2112,2.2682
TEF,1987-07-10,2.3024,2.3138,2.234,2.234
TEF,1987-07-13,2.2112,2.2226,2.1998,2.2226
TEF,1987-07-14,2.2112,2.2226,2.1884,2.1998
TEF,1987-07-15,2.2226,2.3024,2.2112,2.291
TEF,1987-07-16,2.3138,2.4164,2.3138,2.4164
TEF,1987-07-17,2.4506,2.5076,2.4506,2.4848
TEF,1987-07-20,2.4848,2.4848,2.4392,2.4392
TEF,1987-07-21,2.4164,2.4392,2.405,2.405
TEF,1987-07-22,2.3822,2.3936,2.3138,2.3138
TEF,1987-07-23,2.348,2.3936,2.3366,2.3366
TEF,1987-07-24,2.348,2.4506,2.348,2.3822
TEF,1987-07-27,2.405,2.4392,2.3594,2.3708
TEF,1987-07-28,2.3936,2.4506,2.3936,2.4392
TEF,1987-07-29,2.4962,2.519,2.4734,2.5076
TEF,1987-07-30,2.5418,2.5532,2.519,2.519
TEF,1987-07-31,2.5646,2.6444,2.5646,2.6444
TEF,1987-08-03,2.6444,2.6672,2.576,2.576
TEF,1987-08-04,2.5874,2.6102,2.5418,2.6102
TEF,1987-08-05,2.5532,2.5532,2.5076,2.5076
TEF,1987-08-06,2.5304,2.5304,2.4962,2.5076
TEF,1987-08-07,2.5304,2.6444,2.5304,2.6102
TEF,1987-08-10,2.6558,2.69,2.6444,2.6672
TEF,1987-08-11,2.6786,2.6786,2.6216,2.6672
TEF,1987-08-12,2.6786,2.6786,2.6444,2.6558
TEF,1987-08-13,2.6216,2.633,2.5988,2.6102
TEF,1987-08-14,2.633,2.633,2.5418,2.5532
TEF,1987-08-17,2.5418,2.5418,2.5076,2.519
TEF,1987-08-18,2.5418,2.5418,2.5076,2.5304
TEF,1987-08-19,2.5076,2.5076,2.4848,2.4962
TEF,1987-08-20,2.5304,2.5304,2.4848,2.519
TEF,1987-08-21,2.5418,2.5418,2.5076,2.5304
TEF,1987-08-24,2.5418,2.6102,2.5418,2.576
TEF,1987-08-25,2.5874,2.5988,2.576,2.5874
TEF,1987-08-26,2.5988,2.5988,2.5532,2.5532
TEF,1987-08-27,2.5646,2.6102,2.5532,2.5988
TEF,1987-08-28,2.5874,2.6444,2.5532,2.5874
TEF,1987-08-31,2.6102,2.6216,2.5988,2.5988
TEF,1987-09-01,2.5988,2.6102,2.5532,2.5532
TEF,1987-09-02,2.5532,2.5532,2.4962,2.5076
TEF,1987-09-03,2.4734,2.4962,2.462,2.4962
TEF,1987-09-04,2.5304,2.5988,2.5304,2.576
TEF,1987-09-08,2.576,2.576,2.5076,2.519
TEF,1987-09-09,2.519,2.519,2.4848,2.5076
TEF,1987-09-10,2.5418,2.5418,2.5304,2.5418
TEF,1987-09-11,2.5532,2.576,2.5418,2.5646
TEF,1987-09-14,2.5988,2.6216,2.5874,2.6216
TEF,1987-09-15,2.5988,2.5988,2.5532,2.5874
TEF,1987-09-16,2.5874,2.5874,2.5646,2.5646
TEF,1987-09-17,2.5874,2.5874,2.576,2.576
TEF,1987-09-18,2.5988,2.6102,2.5418,2.5418
TEF,1987-09-21,2.5646,2.5646,2.4962,2.519
TEF,1987-09-22,2.5076,2.5076,2.4278,2.462
TEF,1987-09-23,2.462,2.4734,2.4506,2.4734
TEF,1987-09-24,2.462,2.4734,2.4506,2.4506
TEF,1987-09-25,2.4506,2.4506,2.405,2.4164
TEF,1987-09-28,2.405,2.5076,2.405,2.462
TEF,1987-09-29,2.4962,2.519,2.4848,2.4962
TEF,1987-09-30,2.4392,2.462,2.4392,2.4506
TEF,1987-10-01,2.4734,2.4962,2.462,2.4848
TEF,1987-10-02,2.4848,2.4962,2.4734,2.4848
TEF,1987-10-05,2.519,2.519,2.4962,2.519
TEF,1987-10-06,2.5076,2.519,2.4392,2.4506
TEF,1987-10-07,2.4506,2.4506,2.4164,2.4164
TEF,1987-10-08,2.4392,2.4392,2.4164,2.4164
TEF,1987-10-09,2.4278,2.4278,2.348,2.348
TEF,1987-10-12,2.3366,2.348,2.234,2.2568
TEF,1987-10-13,2.3252,2.3936,2.3252,2.3936
TEF,1987-10-14,2.3936,2.3936,2.3366,2.3366
TEF,1987-10-15,2.3822,2.3822,2.348,2.3594
TEF,1987-10-16,2.405,2.405,2.3366,2.348
TEF,1987-10-19,2.1884,2.1884,1.9833,2.0061
TEF,1987-10-20,2.0517,2.0745,1.459,2.0745
TEF,1987-10-21,1.9605,2.0631,1.9491,2.0289
TEF,1987-10-22,1.9605,1.9605,1.7325,1.8921
TEF,1987-10-23,1.8237,1.9149,1.8237,1.9035
TEF,1987-10-26,1.7325,1.7325,1.5615,1.5729
TEF,1987-10-27,1.7781,1.7781,1.6641,1.7325
TEF,1987-10-28,1.6185,1.7439,1.6071,1.6299
TEF,1987-10-29,1.5615,1.7781,1.5501,1.6983
TEF,1987-10-30,1.8465,1.8465,1.7667,1.8237
TEF,1987-11-02,1.8351,2.0061,1.8351,1.9947
TEF,1987-11-03,1.9377,1.9605,1.8807,1.9035
TEF,1987-11-04,1.8465,1.8921,1.8465,1.8807
TEF,1987-11-05,1.8807,2.0175,1.8807,1.9491
TEF,1987-11-06,1.8921,1.9377,1.8921,1.9149
TEF,1987-11-09,1.9035,1.9035,1.7781,1.8009
TEF,1987-11-10,1.7325,1.7325,1.6755,1.6983
TEF,1987-11-11,1.7439,1.8123,1.7097,1.8123
TEF,1987-11-12,1.9605,1.9605,1.8921,1.9263
TEF,1987-11-13,1.9263,1.9263,1.8237,1.8579
TEF,1987-11-16,1.8693,1.8921,1.8579,1.8693
TEF,1987-11-17,1.8465,1.8465,1.8237,1.8237
TEF,1987-11-18,1.8123,1.8693,1.8123,1.8579
TEF,1987-11-19,1.8465,1.8693,1.8465,1.8579
TEF,1987-11-20,1.8465,1.8807,1.8351,1.8693
TEF,1987-11-23,1.8921,1.9377,1.8921,1.9377
TEF,1987-11-24,1.9377,1.9377,1.8921,1.8921
TEF,1987-11-25,1.8921,1.9149,1.8921,1.8921
TEF,1987-11-27,1.8693,1.9491,1.8693,1.9149
TEF,1987-11-30,1.8807,1.8921,1.8237,1.8693
TEF,1987-12-01,1.8579,1.8693,1.8465,1.8579
TEF,1987-12-02,1.8237,1.8465,1.8123,1.8351
TEF,1987-12-03,1.8351,1.8465,1.7781,1.7895
TEF,1987-12-04,1.7553,1.7781,1.7553,1.7553
TEF,1987-12-07,1.7439,1.7895,1.7439,1.7781
TEF,1987-12-08,1.7667,1.7895,1.7553,1.7895
TEF,1987-12-09,1.7895,1.8465,1.7895,1.8237
TEF,1987-12-10,1.7895,1.9377,1.7895,1.9149
TEF,1987-12-11,1.8693,1.9377,1.8693,1.9377
TEF,1987-12-14,1.9377,1.9377,1.8921,1.9263
TEF,1987-12-15,1.9263,1.9263,1.9149,1.9263
TEF,1987-12-16,1.9149,1.9719,1.9149,1.9491
TEF,1987-12-17,2.0517,2.1086,2.0403,2.0973
TEF,1987-12-18,2.0973,2.1314,2.0403,2.0973
TEF,1987-12-21,2.1086,2.1542,2.1086,2.1314
TEF,1987-12-22,2.1428,2.1428,2.12,2.12
TEF,1987-12-23,2.1314,2.1542,2.12,2.1428
TEF,1987-12-24,2.12,2.1998,2.12,2.1884
TEF,1987-12-28,2.1656,2.1656,1.9833,2.0289
TEF,1987-12-29,2.0175,2.0403,2.0175,2.0289
TEF,1987-12-30,2.0175,2.0745,2.0175,2.0745
TEF,1987-12-31,2.0517,2.0745,2.0289,2.0403
TEF,1988-01-04,2.0403,2.1086,2.0403,2.1086
TEF,1988-01-05,2.2226,2.234,2.1884,2.1884
TEF,1988-01-06,2.1884,2.2226,2.1884,2.2226
TEF,1988-01-07,2.1884,2.1884,2.1542,2.1884
TEF,1988-01-08,2.177,2.1998,1.9833,1.9833
TEF,1988-01-11,2.0973,2.1656,2.0745,2.1542
TEF,1988-01-12,2.1428,2.1542,2.0745,2.0745
TEF,1988-01-13,2.0859,2.1314,2.0745,2.0973
