ticker,date,open,high,low,close
VACI,2025-11-20,10.0,10.035,9.88,9.925
VACI,2025-11-21,9.8628,9.91,9.86,9.91
VACI,2025-11-24,9.94,9.95,9.92,9.935
VACI,2025-11-25,9.95,9.95,9.9,9.93
VACI,2025-11-26,9.94,9.94,9.9099,9.91
VACI,2025-12-01,9.91,9.91,9.9,9.91
VACI,2025-12-02,9.9125,9.92,9.9125,9.92
VACI,2025-12-03,9.91,9.91,9.91,9.91
VACI,2025-12-04,9.91,9.915,9.91,9.91
VACI,2025-12-05,9.915,9.915,9.915,9.915
VACI,2025-12-09,9.91,9.91,9.91,9.91
VACI,2025-12-10,9.91,9.91,9.91,9.91
VACI,2025-12-11,9.91,9.91,9.9,9.9
VACI,2025-12-12,9.905,9.91,9.9,9.91
