ticker,date,open,high,low,close
YCY,2025-10-29,9.9,9.93,9.9,9.93
YCY,2025-10-30,9.94,9.94,9.93,9.93
YCY,2025-10-31,9.92,9.94,9.92,9.93
YCY,2025-11-03,9.93,9.93,9.93,9.93
YCY,2025-11-04,9.935,9.965,9.935,9.965
YCY,2025-11-05,9.99,10.02,9.97,10.02
YCY,2025-11-06,10.01,10.02,10.0,10.0
YCY,2025-11-07,10.0,10.03,10.0,10.03
YCY,2025-11-10,10.02,10.04,10.02,10.02
YCY,2025-11-11,10.02,10.02,10.02,10.02
YCY,2025-11-12,9.98,9.98,9.98,9.98
YCY,2025-11-13,10.0,10.0,10.0,10.0
YCY,2025-11-14,10.0,10.02,10.0,10.01
YCY,2025-11-17,10.01,10.01,9.98,9.9965
YCY,2025-11-19,9.95,9.95,9.95,9.95
YCY,2025-11-20,9.95,9.95,9.945,9.945
YCY,2025-11-21,9.95,9.95,9.9198,9.92
YCY,2025-11-24,9.92,9.95,9.92,9.92
YCY,2025-11-25,9.9,9.92,9.9,9.92
YCY,2025-11-26,9.92,9.92,9.91,9.9101
YCY,2025-11-28,9.91,9.91,9.91,9.91
YCY,2025-12-01,9.92,9.93,9.91,9.91
YCY,2025-12-02,9.92,9.92,9.92,9.92
YCY,2025-12-03,9.925,9.93,9.925,9.93
YCY,2025-12-04,9.94,9.95,9.94,9.94
YCY,2025-12-05,9.945,9.945,9.94,9.94
YCY,2025-12-08,9.945,9.95,9.945,9.95
YCY,2025-12-09,9.95,9.95,9.95,9.95
YCY,2025-12-16,9.95,9.95,9.95,9.95
YCY,2025-12-19,9.96,9.96,9.96,9.96
