ticker,date,open,high,low,close
ZK,2024-05-10,26.0,29.36,25.51,28.26
ZK,2024-05-13,30.1,32.243,29.0,29.04
ZK,2024-05-14,29.2,29.7,26.4,27.63
ZK,2024-05-15,27.4,27.77,25.3001,26.74
ZK,2024-05-16,26.23,27.45,25.55,26.61
ZK,2024-05-17,26.31,26.68,25.73,26.0
ZK,2024-05-20,26.3,27.5592,25.74,27.11
ZK,2024-05-21,26.73,28.945,26.53,27.04
ZK,2024-05-22,27.21,27.35,25.77,26.61
ZK,2024-05-23,26.1,26.99,25.82,25.92
ZK,2024-05-24,26.13,26.36,23.1701,23.38
ZK,2024-05-28,23.82,24.83,22.26,24.63
ZK,2024-05-29,24.23,24.73,23.46,23.52
ZK,2024-05-30,23.52,25.66,23.25,24.64
ZK,2024-05-31,24.56,25.49,24.1,25.2
ZK,2024-06-03,25.59,25.95,24.82,25.62
ZK,2024-06-04,25.81,26.3,25.28,25.67
ZK,2024-06-05,25.67,26.4,23.5702,23.84
ZK,2024-06-06,23.94,24.69,23.54,24.04
ZK,2024-06-07,23.99,24.4,23.6,23.74
ZK,2024-06-10,23.7,24.9,23.125,23.66
ZK,2024-06-11,24.56,24.68,21.42,22.12
ZK,2024-06-12,22.05,23.0,20.26,22.02
ZK,2024-06-13,22.12,22.39,21.39,21.39
ZK,2024-06-14,21.21,21.39,20.375,21.06
ZK,2024-06-17,20.96,21.205,20.04,20.47
ZK,2024-06-18,20.38,21.66,20.37,21.38
ZK,2024-06-20,21.83,22.55,20.74,22.53
ZK,2024-06-21,21.83,22.11,21.15,21.16
ZK,2024-06-24,21.07,21.62,21.01,21.26
ZK,2024-06-25,21.08,21.4,21.0,21.24
ZK,2024-06-26,21.01,22.09,21.0,21.64
ZK,2024-06-27,21.54,21.54,20.05,20.18
ZK,2024-06-28,20.21,20.3925,18.33,18.84
ZK,2024-07-01,19.19,19.32,16.89,18.24
ZK,2024-07-02,18.15,18.49,17.62,18.0
ZK,2024-07-03,18.3,19.91,18.1501,19.67
ZK,2024-07-05,19.34,19.47,17.6,17.98
ZK,2024-07-08,17.95,18.28,17.685,17.685
ZK,2024-07-09,17.61,18.16,17.0117,17.91
ZK,2024-07-10,17.97,18.43,17.122,18.33
ZK,2024-07-11,18.5,19.5,18.45,19.15
ZK,2024-07-12,19.4,19.7,18.98,19.54
ZK,2024-07-15,19.12,19.86,18.22,19.02
ZK,2024-07-16,19.0,19.88,18.792,19.63
ZK,2024-07-17,19.41,19.41,18.33,18.71
ZK,2024-07-18,18.7,19.084,17.95,18.32
ZK,2024-07-19,18.09,18.2399,17.63,17.73
ZK,2024-07-22,17.83,18.94,17.71,18.78
ZK,2024-07-23,18.25,19.7048,17.94,18.63
ZK,2024-07-24,18.18,18.18,17.05,17.19
ZK,2024-07-25,17.51,17.8,16.8,17.27
ZK,2024-07-26,17.48,17.8,17.11,17.25
ZK,2024-07-29,17.41,17.99,17.3,17.82
ZK,2024-07-30,17.62,17.82,16.97,17.0
ZK,2024-07-31,17.36,17.61,16.73,16.99
ZK,2024-08-01,17.02,17.11,15.35,15.39
ZK,2024-08-02,14.96,15.39,14.5001,15.3
ZK,2024-08-05,14.31,15.4,14.2267,14.76
ZK,2024-08-06,14.74,16.18,14.5,15.99
ZK,2024-08-07,16.1,16.1,15.03,15.1
ZK,2024-08-08,15.25,15.64,14.79,15.19
ZK,2024-08-09,15.3,15.33,13.41,13.52
ZK,2024-08-12,13.63,14.98,13.18,14.36
ZK,2024-08-13,14.57,15.66,14.45,15.35
ZK,2024-08-14,15.66,15.95,14.92,14.97
ZK,2024-08-15,15.18,15.65,15.13,15.5
ZK,2024-08-16,15.7,15.85,15.12,15.68
ZK,2024-08-19,16.0,17.14,16.0,16.59
ZK,2024-08-20,16.51,16.605,14.9301,15.22
ZK,2024-08-21,15.59,16.98,14.75,16.85
ZK,2024-08-22,16.86,18.37,16.3,18.04
ZK,2024-08-23,18.3,18.65,16.82,17.0
ZK,2024-08-26,16.9,16.9,15.7901,16.02
ZK,2024-08-27,16.15,17.27,16.0858,16.75
ZK,2024-08-28,16.8,17.0,15.0,15.1
ZK,2024-08-29,15.39,16.4,15.2,16.2
ZK,2024-08-30,16.72,18.0,16.02,16.19
ZK,2024-09-03,16.125,17.04,15.8,15.95
ZK,2024-09-04,15.89,16.48,15.51,15.62
ZK,2024-09-05,15.86,17.45,15.6,16.98
ZK,2024-09-06,16.94,17.0,15.28,15.32
ZK,2024-09-09,15.66,16.04,15.46,15.88
ZK,2024-09-10,15.73,16.86,15.73,16.29
ZK,2024-09-11,16.74,16.98,16.06,16.92
ZK,2024-09-12,16.35,16.35,16.19,16.35
ZK,2024-09-13,16.3,16.54,15.9,15.98
ZK,2024-09-16,15.81,15.88,15.51,15.75
ZK,2024-09-17,15.95,16.62,15.79,16.12
ZK,2024-09-18,16.25,16.31,15.12,15.16
ZK,2024-09-19,15.61,16.84,15.35,16.45
ZK,2024-09-20,16.81,16.85,15.5,16.21
ZK,2024-09-23,16.115,16.68,15.47,16.48
ZK,2024-09-24,17.5,18.6,17.1081,18.09
ZK,2024-09-25,17.54,17.82,16.95,17.47
ZK,2024-09-26,18.8,19.1131,17.6656,18.33
ZK,2024-09-27,18.78,21.86,18.766,21.09
ZK,2024-09-30,24.76,25.27,22.16,22.29
ZK,2024-10-01,23.15,24.61,22.365,24.61
ZK,2024-10-02,27.23,27.65,25.4,25.95
ZK,2024-10-03,24.75,26.32,24.05,25.81
ZK,2024-10-04,26.69,27.48,25.03,25.91
ZK,2024-10-07,27.22,31.5,26.21,26.95
ZK,2024-10-08,24.48,26.23,24.0,26.01
ZK,2024-10-09,25.35,25.8997,24.21,25.15
ZK,2024-10-10,25.48,25.83,24.22,24.56
ZK,2024-10-11,23.64,24.4,22.84,23.85
ZK,2024-10-14,23.3,23.35,22.23,22.98
ZK,2024-10-15,22.18,22.7,21.61,21.9
ZK,2024-10-16,22.1,22.54,21.62,22.54
ZK,2024-10-17,22.25,22.4,20.7113,21.17
ZK,2024-10-18,22.26,22.84,21.64,22.31
ZK,2024-10-21,21.91,22.34,21.5228,22.0
ZK,2024-10-22,22.17,23.82,22.17,23.23
ZK,2024-10-23,23.7,23.7999,21.7515,22.15
ZK,2024-10-24,22.3243,23.38,22.165,23.11
ZK,2024-10-25,23.46,29.11,23.46,28.85
ZK,2024-10-28,28.68,29.6,27.47,29.08
ZK,2024-10-29,29.0,29.03,26.33,26.52
ZK,2024-10-30,26.12,26.73,24.95,26.37
ZK,2024-10-31,25.11,25.11,24.1,25.11
ZK,2024-11-01,25.58,25.98,24.99,25.41
ZK,2024-11-04,25.94,27.58,25.18,25.35
ZK,2024-11-05,25.59,27.26,25.59,26.63
ZK,2024-11-06,25.055,25.055,23.77,25.055
ZK,2024-11-07,26.67,26.89,24.67,25.47
ZK,2024-11-08,25.0,25.07,23.94,24.83
ZK,2024-11-11,25.21,28.6,25.21,28.36
ZK,2024-11-12,26.9,29.3575,25.8,26.0
ZK,2024-11-13,28.47,31.1984,27.6,29.14
ZK,2024-11-14,26.5,26.5,21.33,22.24
ZK,2024-11-15,22.9,22.91,20.25,20.34
ZK,2024-11-18,21.11,22.26,20.5,21.22
ZK,2024-11-19,21.76,21.76,20.56,20.94
ZK,2024-11-20,20.9,22.755,20.88,22.72
ZK,2024-11-21,22.3,22.39,21.4,22.1
ZK,2024-11-22,21.51,22.56,21.15,22.4
ZK,2024-11-25,22.775,23.5,22.5,23.36
ZK,2024-11-26,22.59,22.86,22.0297,22.36
ZK,2024-11-27,23.28,24.38,21.95,22.44
